"code","causeid","short_desc","long_desc","major","three_digit"
"A858","infect","ENCEPHALITES VIRALES PREC., NCA","Autres encéphalites virales précisées","Autres encéphalites virales, non classées ailleurs","A85"
"A86","infect","ENCEPHALITE VIRALE, SAI","Encéphalite virale, sans précision","Encéphalite virale, sans précision","A86"
"A879","infect","MENINGITE VIRALE, SAI","Méningite virale, sans précision","Méningite virale","A87"
"B003","infect","MENINGITE DUE AU VIRUS DE L'HERPES","Méningite due au virus de l'herpès (G02.0*)","Infections par le virus de l'herpès [herpes simplex]","B00"
"B004","infect","ENCEPHALITE DUE AU VIRUS DE L'HERPES","Encéphalite due au virus de l'herpès (G05.1*)","Infections par le virus de l'herpès [herpes simplex]","B00"
"B009","infect","INFECT. DUE AU VIRUS DE L'HERPES, SAI","Infection due au virus de l'herpès, sans précision","Infections par le virus de l'herpès [herpes simplex]","B00"
"B011","infect","ENCEPHALITE VARICELLEUSE","Encéphalite varicelleuse (G05.1*)","Varicelle","B01"
"B019","infect","VARICELLE, SAI","Varicelle (sans complication)","Varicelle","B01"
"B020","hiv_std","ENCEPHALITE ZOSTERIENNE","Encéphalite zostérienne (G05.1*)","Zona [herpes zoster]","B02"
"B022","infect","ZONA ACCOMPAGNE D'AUTRES MANIF. NEURO.","Zona accompagné d'autres manifestations neurologiques","Zona [herpes zoster]","B02"
"B023","infect","ZONA OPHTALMIQUE","Zona ophtalmique","Zona [herpes zoster]","B02"
"B027","infect","ZONA DISSEMINE","Zona disséminé","Zona [herpes zoster]","B02"
"B029","infect","ZONA, SAI","Zona (sans complication)","Zona [herpes zoster]","B02"
"B159","infect","HEPATITE A, SAI","Hépatite A (sans coma hépatique)","Hépatite aiguë A","B15"
"B162","infect","HEPATITE AIG. B SANS AGENT DELTA, AVEC COMA HEPATIQUE","Hépatite aiguë B sans agent delta, avec coma hépatique","Hépatite aiguë B","B16"
"B169","infect","HEPATITE AIG. B, SAI","Hépatite (aiguë) B (sans agent delta et sans coma hépatique)","Hépatite aiguë B","B16"
"B171","infect","HEPATITE AIG. C","Hépatite aiguë C","Autres hépatites virales aiguës","B17"
"B180","none","HEPATITE VIRALE CHRON. B AVEC AGENT DELTA","Hépatite virale chronique B avec agent delta","Hépatite virale chronique","B18"
"B181","digest","HEPATITE VIRALE CHRON. B SANS AGENT DELTA","Hépatite virale chronique B sans agent delta","Hépatite virale chronique","B18"
"B182","digest","HEPATITE VIRALE CHRON. C","Hépatite virale chronique C","Hépatite virale chronique","B18"
"B199","infect","HEPATITE VIRALE SAI SANS COMA","Hépatite virale, sans précision, sans coma","Hépatite virale, sans précision","B19"
"B200","none","MAL. PAR VIH A L'ORIGINE D'UNE INFECT. MYCOBACTERIENNE","Maladie par VIH à l'origine d'une infection mycobactérienne","Immunodéficience humaine virale [VIH], à l'origine de maladies infectieuses et parasitaires","B20"
"B201","hiv_std","MAL. PAR VIH A L'ORIGINE D'AUTRES INFECT. BACT.","Maladie par VIH à l'origine d'autres infections bactériennes","Immunodéficience humaine virale [VIH], à l'origine de maladies infectieuses et parasitaires","B20"
"B202","hiv_std","MAL. PAR VIH A L'ORIGINE D'INFECT. A CYTOMEGALOVIRUS","Maladie par VIH à l'origine d'infections à cytomégalovirus","Immunodéficience humaine virale [VIH], à l'origine de maladies infectieuses et parasitaires","B20"
"B203","hiv_std","MAL. PAR VIH A L'ORIGINE D'AUTRES INFECT. VIRALES","Maladie par VIH à l'origine d'autres infections virales","Immunodéficience humaine virale [VIH], à l'origine de maladies infectieuses et parasitaires","B20"
"B205","hiv_std","MAL. PAR VIH A L'ORIGINE D'AUTRES MYCOSES","Maladie par VIH à l'origine d'autres mycoses","Immunodéficience humaine virale [VIH], à l'origine de maladies infectieuses et parasitaires","B20"
"B206","hiv_std","MAL. PAR VIH A L'ORIGINE DE PNEUMOPATHIE A PNEUMOCYSTIS","Maladie par VIH à l'origine de pneumopathie à Pneumocystis","Immunodéficience humaine virale [VIH], à l'origine de maladies infectieuses et parasitaires","B20"
"B207","hiv_std","MAL. PAR VIH A L'ORIGINE D'INFECT. MULT.","Maladie par VIH à l'origine d'infections multiples","Immunodéficience humaine virale [VIH], à l'origine de maladies infectieuses et parasitaires","B20"
"B208","hiv_std","MAL. PAR VIH A L'ORIGINE D'AUTRES MAL. INFECT. ET PARASIT.","Maladie par VIH à l'origine d'autres maladies infectieuses et parasitaires","Immunodéficience humaine virale [VIH], à l'origine de maladies infectieuses et parasitaires","B20"
"B209","hiv_std","MAL. PAR VIH A L'ORIGINE D'UNE MAL. INFECT. OU PARASIT. SAI","Maladie par VIH à l'origine d'une maladie infectieuse ou parasitaire non précisée","Immunodéficience humaine virale [VIH], à l'origine de maladies infectieuses et parasitaires","B20"
"B210","none","MAL. PAR VIH A L'ORIGINE D'UN SARCOME DE KAPOSI","Maladie par VIH à l'origine d'un sarcome de Kaposi","Immunodéficience humaine virale [VIH], à l'origine de tumeurs malignes","B21"
"B211","hiv_std","MAL. PAR VIH A L'ORIGINE D'UN LYMPHOME DE BURKITT","Maladie par VIH à l'origine d'un lymphome de Burkitt","Immunodéficience humaine virale [VIH], à l'origine de tumeurs malignes","B21"
"B212","hiv_std","MAL. PAR VIH A L'ORIGINE D'AUTRES LYMPHOMES NON HODGKINIENS","Maladie par VIH à l'origine d'autres lymphomes non hodgkiniens","Immunodéficience humaine virale [VIH], à l'origine de tumeurs malignes","B21"
"B213","hiv_std","MAL. PAR VIH A L'ORIGINE DE TUM. MAL. DES TISSUS LYMPH., HEMATO. NCA","Maladie par VIH à l'origine d'autres tumeurs malignes des tissus lymphoïde, hématopoïétique et apparentés","Immunodéficience humaine virale [VIH], à l'origine de tumeurs malignes","B21"
"B217","hiv_std","MAL. PAR VIH A L'ORIGINE DE TUM. MAL. MULT.","Maladie par VIH à l'origine de tumeurs malignes multiples","Immunodéficience humaine virale [VIH], à l'origine de tumeurs malignes","B21"
"B218","hiv_std","MAL. PAR VIH A L'ORIGINE D'AUTRES TUM. MAL.","Maladie par VIH à l'origine d'autres tumeurs malignes","Immunodéficience humaine virale [VIH], à l'origine de tumeurs malignes","B21"
"B219","hiv_std","MAL. PAR VIH A L'ORIGINE D'UNE TUM. MAL., SAI","Maladie par VIH à l'origine d'une tumeur maligne, sans précision","Immunodéficience humaine virale [VIH], à l'origine de tumeurs malignes","B21"
"B220","none","MAL. PAR VIH A L'ORIGINE D'UNE ENCEPHALOPATHIE","Maladie par VIH à l'origine d'une encéphalopathie","Immunodéficience humaine virale [VIH], à l'origine d'autres affections précisées","B22"
"B222","hiv_std","MAL. PAR VIH A L'ORIGINE D'UN SYND. CACHECTIQUE","Maladie par VIH à l'origine d'un syndrome cachectique","Immunodéficience humaine virale [VIH], à l'origine d'autres affections précisées","B22"
"B227","hiv_std","MAL. PAR VIH A L'ORIGINE DE MAL. MULT. CL. AILL.","Maladie par VIH à l'origine de maladies multiples classées ailleurs","Immunodéficience humaine virale [VIH], à l'origine d'autres affections précisées","B22"
"B232","hiv_std","MAL. PAR VIH A L'ORIGINE D'ANOM. HEMATO. ET IMMUN., NCA","Maladie par VIH à l'origine d'anomalies hématologiques et immunologiques, non classées ailleurs","Immunodéficience humaine virale [VIH], à l'origine d'autres maladies","B23"
"B238","hiv_std","MAL. PAR VIH A L'ORIGINE D'AUTRES ETATS PREC.","Maladie par VIH à l'origine d'autres états précisés","Immunodéficience humaine virale [VIH], à l'origine d'autres maladies","B23"
"B24","infect","IMMUNODEFICIENCE HUMAINE VIRALE, SAI","Immunodéficience humaine virale [VIH], sans précision","Immunodéficience humaine virale [VIH], sans précision","B24"
"B250","none","PNEUMOPATHIE A CYTOMEGALOVIRUS","Pneumopathie à cytomégalovirus (J17.1*)","Maladie à cytomégalovirus","B25"
"B258","infect","MAL. A CYTOMEGALOVIRUS, NCA","Autres maladies à cytomégalovirus","Maladie à cytomégalovirus","B25"
"B259","infect","MAL. A CYTOMEGALOVIRUS, SAI","Maladie à cytomégalovirus, sans précision","Maladie à cytomégalovirus","B25"
"B270","none","MONONUCLEOSE DUE A HERPESVIRUS GAMMA","Mononucléose due à herpèsvirus gamma","Mononucléose infectieuse","B27"
"B279","infect","MONONUCLEOSE INFECT., SAI","Mononucléose infectieuse, sans précision","Mononucléose infectieuse","B27"
"B332","cvd","CARDITE VIRALE","Cardite virale","Autres maladies à virus, non classées ailleurs","B33"
"B333","infect","INFECT. A RETROVIRUS, NCA","Infections à rétrovirus, non classées ailleurs","Autres maladies à virus, non classées ailleurs","B33"
"B338","infect","MAL. A VIRUS PREC., NCA","Autres maladies à virus précisées","Autres maladies à virus, non classées ailleurs","B33"
"B341","none","INFECT. ENTEROVIRALE, SAI","Infection entérovirale, sans précision","Infection virale, siège non précisé","B34"
"B348","none","INFECT. VIRALES NCA, SIEGE SAI","Autres infections virales, siège non précisé","Infection virale, siège non précisé","B34"
"B349","none","INFECT. VIRALE, SAI","Infection virale, sans précision","Infection virale, siège non précisé","B34"
"B369","none","MYCOSE SUPERF., SAI","Mycose superficielle, sans précision","Autres mycoses superficielles","B36"
"B370","none","STOMATITE A CANDIDA","Stomatite à Candida","Candidose","B37"
"B371","none","CANDIDOSE PULM.","Candidose pulmonaire","Candidose","B37"
"B374","none","CANDIDOSE D'AUTRES LOC. URO-GEN.","Candidose d'autres localisations uro-génitales","Candidose","B37"
"B375","none","MENINGITE A CANDIDA","Méningite à Candida (G02.1*)","Candidose","B37"
"B376","none","ENDOCARDITE A CANDIDA","Endocardite à Candida (I39.8*)","Candidose","B37"
"B377","none","SEPSIS A CANDIDA","Sepsis à Candida","Candidose","B37"
"B378","none","LOC. NCA, DE CANDIDOSE","Autres localisations de candidose","Candidose","B37"
"B379","none","CANDIDOSE, SAI","Candidose, sans précision","Candidose","B37"
"B382","none","COCCIDIOIDOMYCOSE PULM., SAI","Coccidioïdomycose pulmonaire, sans précision","Coccidioïdomycose","B38"
"B440","none","ASPERGILLOSE PULM. INVASIVE","Aspergillose pulmonaire invasive","Aspergillose","B44"
"B441","none","ASPERGILLOSES PULM., NCA","Autres aspergilloses pulmonaires","Aspergillose","B44"
"B447","none","ASPERGILLOSE DISSEMINEE","Aspergillose disséminée","Aspergillose","B44"
"B448","none","ASPERGILLOSE, NCA","Autres formes d'aspergillose","Aspergillose","B44"
"B449","none","ASPERGILLOSE, SAI","Aspergillose, sans précision","Aspergillose","B44"
"B450","none","CRYPTOCOCCOSE PULM.","Cryptococcose pulmonaire","Cryptococcose","B45"
"B451","none","CRYPTOCOCCOSE CEREB.","Cryptococcose cérébrale","Cryptococcose","B45"
"B457","none","CRYPTOCOCCOSE DISSEMINEE","Cryptococcose disséminée","Cryptococcose","B45"
"B465","none","MUCORMYCOSE, SAI","Mucormycose, sans précision","Zygomycose","B46"
"B479","infect","MYCETOME, SAI","Mycétome, sans précision","Mycétome","B47"
"B49","infect","MYCOSE, SAI","Mycose, sans précision","Mycose, sans précision","B49"
"B582","none","MENINGO-ENCEPHALITE A TOXOPLASMA","Méningo-encéphalite à Toxoplasma (G05.2*)","Toxoplasmose","B58"
"B589","none","TOXOPLASMOSE, SAI","Toxoplasmose, sans précision","Toxoplasmose","B58"
"B59","infect","*** SU19 *** PNEUMOCYSTOSE","*** SU19 *** Pneumocystose","*** SU19 *** Pneumocystose","B59"
"B602","ntd","NAEGLERIASE","Naegleriase","Autres maladies dues à des protozoaires, non classées ailleurs","B60"
"B787","none","ANGUILLULOSE DISSEMINEE","Anguillulose disséminée","Anguillulose [strongyloïdose]","B78"
"B789","none","ANGUILLULOSE, SAI","Anguillulose, sans précision","Anguillulose [strongyloïdose]","B78"
"B900","none","SEQ. DE TUBERC. DU S.N.C.","Séquelles de tuberculose du système nerveux central","Séquelles de tuberculose","B90"
"B908","respinfect","SEQ. DE TUBERC. D'AUTRES ORG.","Séquelles de tuberculose d'autres organes","Séquelles de tuberculose","B90"
"B909","respinfect","SEQ. DE TUBERC. DES VOIES RESP. OU SAI","Séquelles de tuberculose des voies respiratoires et sans précision","Séquelles de tuberculose","B90"
"B91","infect","SEQ. DE POLIO.","Séquelles de poliomyélite","Séquelles de poliomyélite","B91"
"B941","infect","SEQ. D'ENCEPHALITE VIRALE","Séquelles d'encéphalite virale","Séquelles de maladies infectieuses et parasitaires, autres et non précisées","B94"
"B942","infect","SEQ. D'HEPATITE VIRALE","Séquelles d'hépatite virale","Séquelles de maladies infectieuses et parasitaires, autres et non précisées","B94"
"B948","none","SEQ. DE MAL. INFECT. ET PARASIT., NCA","Séquelles d'autres maladies infectieuses et parasitaires précisées","Séquelles de maladies infectieuses et parasitaires, autres et non précisées","B94"
"B99","none","MAL. INFECT., NCA OU SAI","Maladies infectieuses, autres et non précisées","Maladies infectieuses, autres et non précisées","B99"
"C009","neo","T.M. DE LA LEVRE, SAI","Tumeur maligne de la lèvre, sans précision","Tumeur maligne de la lèvre","C00"
"C01","neo","T.M. DE LA BASE DE LA LANGUE","Tumeur maligne de la base de la langue","Tumeur maligne de la base de la langue","C01"
"C029","neo","T.M. DE LA LANGUE, SAI","Tumeur maligne de la langue, sans précision","Tumeur maligne de la langue, parties autres et non précisées","C02"
"C030","neo","T.M. DE LA GENCIVE SUP.","Tumeur maligne de la gencive supérieure","Tumeur maligne de la gencive","C03"
"C031","neo","T.M. DE LA GENCIVE INF.","Tumeur maligne de la gencive inférieure","Tumeur maligne de la gencive","C03"
"C039","neo","T.M. DE LA GENCIVE, SAI","Tumeur maligne de la gencive, sans précision","Tumeur maligne de la gencive","C03"
"C049","neo","T.M. DU PLANCHER DE LA BOUCHE, SAI","Tumeur maligne du plancher de la bouche, sans précision","Tumeur maligne du plancher de la bouche","C04"
"C050","neo","T.M. DE LA VOUTE PALATINE","Tumeur maligne de la voûte palatine","Tumeur maligne du palais","C05"
"C051","neo","T.M. DU VOILE DU PALAIS","Tumeur maligne du voile du palais","Tumeur maligne du palais","C05"
"C052","neo","T.M. DE LA LUETTE","Tumeur maligne de la luette","Tumeur maligne du palais","C05"
"C059","neo","T.M. DU PALAIS, SAI","Tumeur maligne du palais, sans précision","Tumeur maligne du palais","C05"
"C060","neo","T.M. DE LA MUQ. DE LA JOUE","Tumeur maligne de la muqueuse de la joue","Tumeur maligne de la bouche, parties autres et non précisées","C06"
"C062","neo","T.M. DE LA REGION RETROMOLAIRE","Tumeur maligne de la région rétromolaire","Tumeur maligne de la bouche, parties autres et non précisées","C06"
"C068","neo","T.M. A LOC. CONTIGUES DE LA BOUCHE, PARTIES NCA OU SAI","Tumeur maligne à localisations contiguës de la bouche, parties autres et non précisées","Tumeur maligne de la bouche, parties autres et non précisées","C06"
"C069","neo","T.M. DE LA BOUCHE, SAI","Tumeur maligne de la bouche, sans précision","Tumeur maligne de la bouche, parties autres et non précisées","C06"
"C07","neo","T.M. DE LA GLD. PAROTIDE","Tumeur maligne de la glande parotide","Tumeur maligne de la glande parotide","C07"
"C080","none","T.M. DE LA GLD. SOUS-MAXILLAIRE","Tumeur maligne de la glande sous-maxillaire","Tumeur maligne des glandes salivaires principales, autres et non précisées","C08"
"C089","neo","T.M. DE LA GLD. SALIVAIRE, SAI","Tumeur maligne de la glande salivaire (principale), sans précision","Tumeur maligne des glandes salivaires principales, autres et non précisées","C08"
"C090","neo","T.M. DE LA FOSSE AMYGDALIENNE","Tumeur maligne de la fosse amygdalienne","Tumeur maligne de l'amygdale","C09"
"C099","neo","T.M. DE L'AMYGDALE, SAI","Tumeur maligne de l'amygdale, sans précision","Tumeur maligne de l'amygdale","C09"
"C100","none","T.M. DU SILLON GLOSSO-EPIGLOTTIQUE","Tumeur maligne du sillon glosso-épiglottique","Tumeur maligne de l'oropharynx","C10"
"C109","neo","T.M. DE L'OROPHARYNX, SAI","Tumeur maligne de l'oropharynx, sans précision","Tumeur maligne de l'oropharynx","C10"
"C111","neo","T.M. DE LA PAROI POST. DU RHINOPHARYNX","Tumeur maligne de la paroi postérieure du rhinopharynx","Tumeur maligne du rhinopharynx","C11"
"C119","neo","T.M. DU RHINOPHARYNX, SAI","Tumeur maligne du rhinopharynx, sans précision","Tumeur maligne du rhinopharynx","C11"
"C12","neo","T.M. DU SINUS PIRIFORME","Tumeur maligne du sinus piriforme","Tumeur maligne du sinus piriforme","C12"
"C130","none","T.M. DE LA REGION RETRO-CRICOIDIENNE","Tumeur maligne de la région rétro-cricoïdienne","Tumeur maligne de l'hypopharynx","C13"
"C139","neo","T.M. DE L'HYPOPHARYNX, SAI","Tumeur maligne de l'hypopharynx, sans précision","Tumeur maligne de l'hypopharynx","C13"
"C140","none","T.M. DU PHARYNX, SAI","Tumeur maligne du pharynx, sans précision","Tumeur maligne de la lèvre, de la cavité buccale et du pharynx, de sièges autres et mal définis","C14"
"C148","none","T.M. A LOC. CONTIGUES DE LA LEVRE, DE LA CAV. BUCC. ET DU PHARYNX","Tumeur maligne à localisations contiguës de la lèvre, de la cavité buccale et du pharynx","Tumeur maligne de la lèvre, de la cavité buccale et du pharynx, de sièges autres et mal définis","C14"
"C150","none","T.M. DE L'OESOPHAGE CERV.","Tumeur maligne de l'oesophage cervical","Tumeur maligne de l'oesophage","C15"
"C152","neo","T.M. DE L'OESOPHAGE ABDO.","Tumeur maligne de l'oesophage abdominal","Tumeur maligne de l'oesophage","C15"
"C153","neo","T.M. DU TIERS SUP. DE L'OESOPHAGE","Tumeur maligne du tiers supérieur de l'oesophage","Tumeur maligne de l'oesophage","C15"
"C154","neo","T.M. DU TIERS MOY. DE L'OESOPHAGE","Tumeur maligne du tiers moyen de l'oesophage","Tumeur maligne de l'oesophage","C15"
"C155","neo","T.M. DU TIERS INF. DE L'OESOPHAGE","Tumeur maligne du tiers inférieur de l'oesophage","Tumeur maligne de l'oesophage","C15"
"C159","neo","T.M. DE L'OESOPHAGE, SAI","Tumeur maligne de l'oesophage, sans précision","Tumeur maligne de l'oesophage","C15"
"C160","none","T.M. DU CARDIA","Tumeur maligne du cardia","Tumeur maligne de l'estomac","C16"
"C161","neo","T.M. DU FUNDUS","Tumeur maligne du fundus","Tumeur maligne de l'estomac","C16"
"C163","neo","T.M. DE L'ANTRE PYLORIQUE","Tumeur maligne de l'antre pylorique","Tumeur maligne de l'estomac","C16"
"C164","neo","T.M. DU PYLORE","Tumeur maligne du pylore","Tumeur maligne de l'estomac","C16"
"C169","neo","T.M. DE L'ESTOMAC, SAI","Tumeur maligne de l'estomac, sans précision","Tumeur maligne de l'estomac","C16"
"C170","none","T.M. DU DUODENUM","Tumeur maligne du duodénum","Tumeur maligne de l'intestin grêle","C17"
"C171","neo","T.M. DU JEJUNUM","Tumeur maligne du jéjunum","Tumeur maligne de l'intestin grêle","C17"
"C172","neo","T.M. DE L'ILEON","Tumeur maligne de l'iléon","Tumeur maligne de l'intestin grêle","C17"
"C179","neo","T.M. DE L'INTESTIN GRELE, SAI","Tumeur maligne de l'intestin grêle, sans précision","Tumeur maligne de l'intestin grêle","C17"
"C180","none","T.M. DU CAECUM","Tumeur maligne du caecum","Tumeur maligne du côlon","C18"
"C181","neo","T.M. DE L'APPENDICE","Tumeur maligne de l'appendice","Tumeur maligne du côlon","C18"
"C182","neo","T.M. DU COLON ASCENDANT","Tumeur maligne du côlon ascendant","Tumeur maligne du côlon","C18"
"C183","neo","T.M. DE L'ANGLE DROIT DU COLON","Tumeur maligne de l'angle droit du côlon","Tumeur maligne du côlon","C18"
"C184","neo","T.M. DU COLON TRANSVERSE","Tumeur maligne du côlon transverse","Tumeur maligne du côlon","C18"
"C185","neo","T.M. DE L'ANGLE GAUCHE DU COLON","Tumeur maligne de l'angle gauche du côlon","Tumeur maligne du côlon","C18"
"C186","neo","T.M. DU COLON DESCENDANT","Tumeur maligne du côlon descendant","Tumeur maligne du côlon","C18"
