causeid,all_text
enteric_all,"['a09', 'infectious', 'gastroenteritis', 'colitis', 'unspecified', 'intestinal', 'infectious', 'diseases', 'certain', 'infectious', 'parasitic', 'diseases']"
respinfect,"['a181', 'tuberculosis', 'genitourinary', 'system', 'tuberculosis', 'certain', 'infectious', 'parasitic', 'diseases']"
respinfect,"['a182', 'tuberculous', 'peripheral', 'lymphadenopathy', 'tuberculosis', 'certain', 'infectious', 'parasitic', 'diseases']"
respinfect,"['a183', 'tuberculosis', 'intestines', 'peritoneum', 'mesenteric', 'glands', 'tuberculosis', 'certain', 'infectious', 'parasitic', 'diseases']"
respinfect,"['a188', 'tuberculosis', 'specified', 'organs', 'tuberculosis', 'certain', 'infectious', 'parasitic', 'diseases']"
respinfect,"['a199', 'miliary', 'tuberculosis', 'unspecified', 'tuberculosis', 'certain', 'infectious', 'parasitic', 'diseases']"
infect,"['a321', 'listerial', 'meningitis', 'meningoencephalitis', 'bacterial', 'diseases', 'certain', 'infectious', 'parasitic', 'diseases']"
infect,"['a327', 'listerial', 'sepsis', 'bacterial', 'diseases', 'certain', 'infectious', 'parasitic', 'diseases']"
infect,"['a394', 'meningococcemia', 'unspecified', 'bacterial', 'diseases', 'certain', 'infectious', 'parasitic', 'diseases']"
respinfect,"['a481', 'legionnaires', 'disease', 'bacterial', 'diseases', 'certain', 'infectious', 'parasitic', 'diseases']"
hiv_std,"['a509', 'congenital', 'syphilis', 'unspecified', 'infections', 'predominantly', 'sexual', 'mode', 'transmission', 'certain', 'infectious', 'parasitic', 'diseases']"
hiv_std,"['a539', 'syphilis', 'unspecified', 'infections', 'predominantly', 'sexual', 'mode', 'transmission', 'certain', 'infectious', 'parasitic', 'diseases']"
infect,"['a812', 'progressive', 'multifocal', 'leukoencephalopathy', 'viral', 'prion', 'infections', 'central', 'nervous', 'system', 'certain', 'infectious', 'parasitic', 'diseases']"
infect,"['a858', 'specified', 'viral', 'encephalitis', 'viral', 'prion', 'infections', 'central', 'nervous', 'system', 'certain', 'infectious', 'parasitic', 'diseases']"
infect,"['a86', 'unspecified', 'viral', 'encephalitis', 'viral', 'prion', 'infections', 'central', 'nervous', 'system', 'certain', 'infectious', 'parasitic', 'diseases']"
infect,"['a879', 'viral', 'meningitis', 'unspecified', 'viral', 'prion', 'infections', 'central', 'nervous', 'system', 'certain', 'infectious', 'parasitic', 'diseases']"
infect,"['b003', 'herpesviral', 'meningitis', 'viral', 'infections', 'characterized', 'skin', 'mucous', 'membrane', 'lesions', 'certain', 'infectious', 'parasitic', 'diseases']"
infect,"['b004', 'herpesviral', 'encephalitis', 'viral', 'infections', 'characterized', 'skin', 'mucous', 'membrane', 'lesions', 'certain', 'infectious', 'parasitic', 'diseases']"
infect,"['b009', 'herpesviral', 'infection', 'unspecified', 'viral', 'infections', 'characterized', 'skin', 'mucous', 'membrane', 'lesions', 'certain', 'infectious', 'parasitic', 'diseases']"
infect,"['b011', 'varicella', 'encephalitis', 'myelitis', 'encephalomyelitis', 'viral', 'infections', 'characterized', 'skin', 'mucous', 'membrane', 'lesions', 'certain', 'infectious', 'parasitic', 'diseases']"
infect,"['b019', 'varicella', 'without', 'complication', 'viral', 'infections', 'characterized', 'skin', 'mucous', 'membrane', 'lesions', 'certain', 'infectious', 'parasitic', 'diseases']"
hiv_std,"['b020', 'zoster', 'encephalitis', 'viral', 'infections', 'characterized', 'skin', 'mucous', 'membrane', 'lesions', 'certain', 'infectious', 'parasitic', 'diseases']"
infect,"['b022', 'zoster', 'nervous', 'system', 'involvement', 'viral', 'infections', 'characterized', 'skin', 'mucous', 'membrane', 'lesions', 'certain', 'infectious', 'parasitic', 'diseases']"
infect,"['b023', 'zoster', 'ocular', 'disease', 'viral', 'infections', 'characterized', 'skin', 'mucous', 'membrane', 'lesions', 'certain', 'infectious', 'parasitic', 'diseases']"
infect,"['b027', 'disseminated', 'zoster', 'viral', 'infections', 'characterized', 'skin', 'mucous', 'membrane', 'lesions', 'certain', 'infectious', 'parasitic', 'diseases']"
infect,"['b029', 'zoster', 'without', 'complications', 'viral', 'infections', 'characterized', 'skin', 'mucous', 'membrane', 'lesions', 'certain', 'infectious', 'parasitic', 'diseases']"
infect,"['b159', 'hepatitis', 'without', 'hepatic', 'coma', 'viral', 'hepatitis', 'certain', 'infectious', 'parasitic', 'diseases']"
infect,"['b162', 'acute', 'hepatitis', 'b', 'without', 'deltaagent', 'hepatic', 'coma', 'viral', 'hepatitis', 'certain', 'infectious', 'parasitic', 'diseases']"
infect,"['b169', 'acute', 'hepatitis', 'b', 'without', 'deltaagent', 'without', 'hepatic', 'coma', 'viral', 'hepatitis', 'certain', 'infectious', 'parasitic', 'diseases']"
infect,"['b171', 'acute', 'hepatitis', 'c', 'viral', 'hepatitis', 'certain', 'infectious', 'parasitic', 'diseases']"
digest,"['b181', 'chronic', 'viral', 'hepatitis', 'b', 'without', 'deltaagent', 'viral', 'hepatitis', 'certain', 'infectious', 'parasitic', 'diseases']"
digest,"['b182', 'chronic', 'viral', 'hepatitis', 'c', 'viral', 'hepatitis', 'certain', 'infectious', 'parasitic', 'diseases']"
infect,"['b199', 'unspecified', 'viral', 'hepatitis', 'without', 'hepatic', 'coma', 'viral', 'hepatitis', 'certain', 'infectious', 'parasitic', 'diseases']"
infect,"['b258', 'cytomegaloviral', 'diseases', 'viral', 'diseases', 'certain', 'infectious', 'parasitic', 'diseases']"
infect,"['b259', 'cytomegaloviral', 'disease', 'unspecified', 'viral', 'diseases', 'certain', 'infectious', 'parasitic', 'diseases']"
infect,"['b279', 'infectious', 'mononucleosis', 'unspecified', 'viral', 'diseases', 'certain', 'infectious', 'parasitic', 'diseases']"
cvd,"['b332', 'viral', 'carditis', 'viral', 'diseases', 'certain', 'infectious', 'parasitic', 'diseases']"
infect,"['b333', 'retrovirus', 'infections', 'elsewhere', 'classified', 'viral', 'diseases', 'certain', 'infectious', 'parasitic', 'diseases']"
infect,"['b338', 'specified', 'viral', 'diseases', 'viral', 'diseases', 'certain', 'infectious', 'parasitic', 'diseases']"
infect,"['b479', 'mycetoma', 'unspecified', 'mycoses', 'certain', 'infectious', 'parasitic', 'diseases']"
infect,"['b49', 'unspecified', 'mycosis', 'mycoses', 'certain', 'infectious', 'parasitic', 'diseases']"
infect,"['b59', 'pneumocystosis', 'protozoal', 'diseases', 'certain', 'infectious', 'parasitic', 'diseases']"
ntd,"['b602', 'naegleriasis', 'protozoal', 'diseases', 'certain', 'infectious', 'parasitic', 'diseases']"
respinfect,"['b908', 'sequelae', 'tuberculosis', 'organs', 'sequelae', 'infectious', 'parasitic', 'diseases', 'certain', 'infectious', 'parasitic', 'diseases']"
respinfect,"['b909', 'sequelae', 'respiratory', 'unspecified', 'tuberculosis', 'sequelae', 'infectious', 'parasitic', 'diseases', 'certain', 'infectious', 'parasitic', 'diseases']"
infect,"['b91', 'sequelae', 'poliomyelitis', 'sequelae', 'infectious', 'parasitic', 'diseases', 'certain', 'infectious', 'parasitic', 'diseases']"
infect,"['b941', 'sequelae', 'viral', 'encephalitis', 'sequelae', 'infectious', 'parasitic', 'diseases', 'certain', 'infectious', 'parasitic', 'diseases']"
infect,"['b942', 'sequelae', 'viral', 'hepatitis', 'sequelae', 'infectious', 'parasitic', 'diseases', 'certain', 'infectious', 'parasitic', 'diseases']"
neo,"['c009', 'malignant', 'neoplasm', 'lip', 'unspecified', 'malignant', 'neoplasms', 'lip', 'oral', 'cavity', 'pharynx', 'neoplasms']"
neo,"['c01', 'malignant', 'neoplasm', 'base', 'tongue', 'malignant', 'neoplasms', 'lip', 'oral', 'cavity', 'pharynx', 'neoplasms']"
neo,"['c029', 'malignant', 'neoplasm', 'tongue', 'unspecified', 'malignant', 'neoplasms', 'lip', 'oral', 'cavity', 'pharynx', 'neoplasms']"
neo,"['c030', 'malignant', 'neoplasm', 'upper', 'gum', 'malignant', 'neoplasms', 'lip', 'oral', 'cavity', 'pharynx', 'neoplasms']"
neo,"['c031', 'malignant', 'neoplasm', 'lower', 'gum', 'malignant', 'neoplasms', 'lip', 'oral', 'cavity', 'pharynx', 'neoplasms']"
neo,"['c039', 'malignant', 'neoplasm', 'gum', 'unspecified', 'malignant', 'neoplasms', 'lip', 'oral', 'cavity', 'pharynx', 'neoplasms']"
neo,"['c049', 'malignant', 'neoplasm', 'floor', 'mouth', 'unspecified', 'malignant', 'neoplasms', 'lip', 'oral', 'cavity', 'pharynx', 'neoplasms']"
neo,"['c050', 'malignant', 'neoplasm', 'hard', 'palate', 'malignant', 'neoplasms', 'lip', 'oral', 'cavity', 'pharynx', 'neoplasms']"
neo,"['c051', 'malignant', 'neoplasm', 'soft', 'palate', 'malignant', 'neoplasms', 'lip', 'oral', 'cavity', 'pharynx', 'neoplasms']"
neo,"['c052', 'malignant', 'neoplasm', 'uvula', 'malignant', 'neoplasms', 'lip', 'oral', 'cavity', 'pharynx', 'neoplasms']"
neo,"['c059', 'malignant', 'neoplasm', 'palate', 'unspecified', 'malignant', 'neoplasms', 'lip', 'oral', 'cavity', 'pharynx', 'neoplasms']"
neo,"['c060', 'malignant', 'neoplasm', 'cheek', 'mucosa', 'malignant', 'neoplasms', 'lip', 'oral', 'cavity', 'pharynx', 'neoplasms']"
neo,"['c062', 'malignant', 'neoplasm', 'retromolar', 'area', 'malignant', 'neoplasms', 'lip', 'oral', 'cavity', 'pharynx', 'neoplasms']"
neo,"['c068', 'malignant', 'neoplasm', 'overlapping', 'sites', 'unspecified', 'parts', 'mouth', 'malignant', 'neoplasms', 'lip', 'oral', 'cavity', 'pharynx', 'neoplasms']"
neo,"['c069', 'malignant', 'neoplasm', 'mouth', 'unspecified', 'malignant', 'neoplasms', 'lip', 'oral', 'cavity', 'pharynx', 'neoplasms']"
neo,"['c07', 'malignant', 'neoplasm', 'parotid', 'gland', 'malignant', 'neoplasms', 'lip', 'oral', 'cavity', 'pharynx', 'neoplasms']"
neo,"['c089', 'malignant', 'neoplasm', 'major', 'salivary', 'gland', 'unspecified', 'malignant', 'neoplasms', 'lip', 'oral', 'cavity', 'pharynx', 'neoplasms']"
neo,"['c090', 'malignant', 'neoplasm', 'tonsillar', 'fossa', 'malignant', 'neoplasms', 'lip', 'oral', 'cavity', 'pharynx', 'neoplasms']"
neo,"['c099', 'malignant', 'neoplasm', 'tonsil', 'unspecified', 'malignant', 'neoplasms', 'lip', 'oral', 'cavity', 'pharynx', 'neoplasms']"
neo,"['c109', 'malignant', 'neoplasm', 'oropharynx', 'unspecified', 'malignant', 'neoplasms', 'lip', 'oral', 'cavity', 'pharynx', 'neoplasms']"
neo,"['c111', 'malignant', 'neoplasm', 'posterior', 'wall', 'nasopharynx', 'malignant', 'neoplasms', 'lip', 'oral', 'cavity', 'pharynx', 'neoplasms']"
neo,"['c119', 'malignant', 'neoplasm', 'nasopharynx', 'unspecified', 'malignant', 'neoplasms', 'lip', 'oral', 'cavity', 'pharynx', 'neoplasms']"
neo,"['c12', 'malignant', 'neoplasm', 'pyriform', 'sinus', 'malignant', 'neoplasms', 'lip', 'oral', 'cavity', 'pharynx', 'neoplasms']"
neo,"['c139', 'malignant', 'neoplasm', 'hypopharynx', 'unspecified', 'malignant', 'neoplasms', 'lip', 'oral', 'cavity', 'pharynx', 'neoplasms']"
neo,"['c153', 'malignant', 'neoplasm', 'upper', 'third', 'esophagus', 'malignant', 'neoplasms', 'digestive', 'organs', 'neoplasms']"
neo,"['c154', 'malignant', 'neoplasm', 'middle', 'third', 'esophagus', 'malignant', 'neoplasms', 'digestive', 'organs', 'neoplasms']"
neo,"['c155', 'malignant', 'neoplasm', 'lower', 'third', 'esophagus', 'malignant', 'neoplasms', 'digestive', 'organs', 'neoplasms']"
neo,"['c159', 'malignant', 'neoplasm', 'esophagus', 'unspecified', 'malignant', 'neoplasms', 'digestive', 'organs', 'neoplasms']"
neo,"['c161', 'malignant', 'neoplasm', 'fundus', 'stomach', 'malignant', 'neoplasms', 'digestive', 'organs', 'neoplasms']"
neo,"['c163', 'malignant', 'neoplasm', 'pyloric', 'antrum', 'malignant', 'neoplasms', 'digestive', 'organs', 'neoplasms']"
neo,"['c164', 'malignant', 'neoplasm', 'pylorus', 'malignant', 'neoplasms', 'digestive', 'organs', 'neoplasms']"
neo,"['c169', 'malignant', 'neoplasm', 'stomach', 'unspecified', 'malignant', 'neoplasms', 'digestive', 'organs', 'neoplasms']"
neo,"['c171', 'malignant', 'neoplasm', 'jejunum', 'malignant', 'neoplasms', 'digestive', 'organs', 'neoplasms']"
neo,"['c172', 'malignant', 'neoplasm', 'ileum', 'malignant', 'neoplasms', 'digestive', 'organs', 'neoplasms']"
neo,"['c179', 'malignant', 'neoplasm', 'small', 'intestine', 'unspecified', 'malignant', 'neoplasms', 'digestive', 'organs', 'neoplasms']"
neo,"['c181', 'malignant', 'neoplasm', 'appendix', 'malignant', 'neoplasms', 'digestive', 'organs', 'neoplasms']"
neo,"['c182', 'malignant', 'neoplasm', 'ascending', 'colon', 'malignant', 'neoplasms', 'digestive', 'organs', 'neoplasms']"
neo,"['c183', 'malignant', 'neoplasm', 'hepatic', 'flexure', 'malignant', 'neoplasms', 'digestive', 'organs', 'neoplasms']"
neo,"['c184', 'malignant', 'neoplasm', 'transverse', 'colon', 'malignant', 'neoplasms', 'digestive', 'organs', 'neoplasms']"
neo,"['c185', 'malignant', 'neoplasm', 'splenic', 'flexure', 'malignant', 'neoplasms', 'digestive', 'organs', 'neoplasms']"
neo,"['c186', 'malignant', 'neoplasm', 'descending', 'colon', 'malignant', 'neoplasms', 'digestive', 'organs', 'neoplasms']"
neo,"['c187', 'malignant', 'neoplasm', 'sigmoid', 'colon', 'malignant', 'neoplasms', 'digestive', 'organs', 'neoplasms']"
neo,"['c188', 'malignant', 'neoplasm', 'overlapping', 'sites', 'colon', 'malignant', 'neoplasms', 'digestive', 'organs', 'neoplasms']"
neo,"['c189', 'malignant', 'neoplasm', 'colon', 'unspecified', 'malignant', 'neoplasms', 'digestive', 'organs', 'neoplasms']"
neo,"['c19', 'malignant', 'neoplasm', 'rectosigmoid', 'junction', 'malignant', 'neoplasms', 'digestive', 'organs', 'neoplasms']"
neo,"['c20', 'malignant', 'neoplasm', 'rectum', 'malignant', 'neoplasms', 'digestive', 'organs', 'neoplasms']"
neo,"['c211', 'malignant', 'neoplasm', 'anal', 'canal', 'malignant', 'neoplasms', 'digestive', 'organs', 'neoplasms']"
neo,"['c218', 'malignant', 'neoplasm', 'overlapping', 'sites', 'rectum', 'anus', 'anal', 'canal', 'malignant', 'neoplasms', 'digestive', 'organs', 'neoplasms']"
neo,"['c221', 'intrahepatic', 'bile', 'duct', 'carcinoma', 'malignant', 'neoplasms', 'digestive', 'organs', 'neoplasms']"
neo,"['c222', 'hepatoblastoma', 'malignant', 'neoplasms', 'digestive', 'organs', 'neoplasms']"
neo,"['c223', 'angiosarcoma', 'liver', 'malignant', 'neoplasms', 'digestive', 'organs', 'neoplasms']"
neo,"['c229', 'malignant', 'neoplasm', 'liver', 'specified', 'primary', 'secondary', 'malignant', 'neoplasms', 'digestive', 'organs', 'neoplasms']"
neo,"['c23', 'malignant', 'neoplasm', 'gallbladder', 'malignant', 'neoplasms', 'digestive', 'organs', 'neoplasms']"
neo,"['c241', 'malignant', 'neoplasm', 'ampulla', 'vater', 'malignant', 'neoplasms', 'digestive', 'organs', 'neoplasms']"
neo,"['c248', 'malignant', 'neoplasm', 'overlapping', 'sites', 'biliary', 'tract', 'malignant', 'neoplasms', 'digestive', 'organs', 'neoplasms']"
neo,"['c249', 'malignant', 'neoplasm', 'biliary', 'tract', 'unspecified', 'malignant', 'neoplasms', 'digestive', 'organs', 'neoplasms']"
neo,"['c251', 'malignant', 'neoplasm', 'body', 'pancreas', 'malignant', 'neoplasms', 'digestive', 'organs', 'neoplasms']"
neo,"['c252', 'malignant', 'neoplasm', 'tail', 'pancreas', 'malignant', 'neoplasms', 'digestive', 'organs', 'neoplasms']"
neo,"['c254', 'malignant', 'neoplasm', 'endocrine', 'pancreas', 'malignant', 'neoplasms', 'digestive', 'organs', 'neoplasms']"
neo,"['c257', 'malignant', 'neoplasm', 'parts', 'pancreas', 'malignant', 'neoplasms', 'digestive', 'organs', 'neoplasms']"
neo,"['c258', 'malignant', 'neoplasm', 'overlapping', 'sites', 'pancreas', 'malignant', 'neoplasms', 'digestive', 'organs', 'neoplasms']"
neo,"['c259', 'malignant', 'neoplasm', 'pancreas', 'unspecified', 'malignant', 'neoplasms', 'digestive', 'organs', 'neoplasms']"
neo,"['c301', 'malignant', 'neoplasm', 'middle', 'ear', 'malignant', 'neoplasms', 'respiratory', 'intrathoracic', 'organs', 'neoplasms']"
neo,"['c311', 'malignant', 'neoplasm', 'ethmoidal', 'sinus', 'malignant', 'neoplasms', 'respiratory', 'intrathoracic', 'organs', 'neoplasms']"
neo,"['c312', 'malignant', 'neoplasm', 'frontal', 'sinus', 'malignant', 'neoplasms', 'respiratory', 'intrathoracic', 'organs', 'neoplasms']"
neo,"['c313', 'malignant', 'neoplasm', 'sphenoid', 'sinus', 'malignant', 'neoplasms', 'respiratory', 'intrathoracic', 'organs', 'neoplasms']"
neo,"['c319', 'malignant', 'neoplasm', 'accessory', 'sinus', 'unspecified', 'malignant', 'neoplasms', 'respiratory', 'intrathoracic', 'organs', 'neoplasms']"
neo,"['c321', 'malignant', 'neoplasm', 'supraglottis', 'malignant', 'neoplasms', 'respiratory', 'intrathoracic', 'organs', 'neoplasms']"
neo,"['c323', 'malignant', 'neoplasm', 'laryngeal', 'cartilage', 'malignant', 'neoplasms', 'respiratory', 'intrathoracic', 'organs', 'neoplasms']"
neo,"['c329', 'malignant', 'neoplasm', 'larynx', 'unspecified', 'malignant', 'neoplasms', 'respiratory', 'intrathoracic', 'organs', 'neoplasms']"
neo,"['c33', 'malignant', 'neoplasm', 'trachea', 'malignant', 'neoplasms', 'respiratory', 'intrathoracic', 'organs', 'neoplasms']"
neo,"['c341', 'malignant', 'neoplasm', 'upper', 'lobe', 'bronchus', 'lung', 'malignant', 'neoplasms', 'respiratory', 'intrathoracic', 'organs', 'neoplasms']"
neo,"['c342', 'malignant', 'neoplasm', 'middle', 'lobe', 'bronchus', 'lung', 'malignant', 'neoplasms', 'respiratory', 'intrathoracic', 'organs', 'neoplasms']"
neo,"['c343', 'malignant', 'neoplasm', 'lower', 'lobe', 'bronchus', 'lung', 'malignant', 'neoplasms', 'respiratory', 'intrathoracic', 'organs', 'neoplasms']"
neo,"['c349', 'malignant', 'neoplasm', 'unspecified', 'part', 'bronchus', 'lung', 'malignant', 'neoplasms', 'respiratory', 'intrathoracic', 'organs', 'neoplasms']"
neo,"['c37', 'malignant', 'neoplasm', 'thymus', 'malignant', 'neoplasms', 'respiratory', 'intrathoracic', 'organs', 'neoplasms']"
neo,"['c383', 'malignant', 'neoplasm', 'mediastinum', 'part', 'unspecified', 'malignant', 'neoplasms', 'respiratory', 'intrathoracic', 'organs', 'neoplasms']"
neo,"['c384', 'malignant', 'neoplasm', 'pleura', 'malignant', 'neoplasms', 'respiratory', 'intrathoracic', 'organs', 'neoplasms']"
neo,"['c402', 'malignant', 'neoplasm', 'long', 'bones', 'lower', 'limb', 'malignant', 'neoplasms', 'bone', 'articular', 'cartilage', 'neoplasms']"
neo,"['c409', 'malignant', 'neoplasm', 'unspecified', 'bones', 'articular', 'cartilage', 'limb', 'malignant', 'neoplasms', 'bone', 'articular', 'cartilage', 'neoplasms']"
neo,"['c411', 'malignant', 'neoplasm', 'mandible', 'malignant', 'neoplasms', 'bone', 'articular', 'cartilage', 'neoplasms']"
neo,"['c412', 'malignant', 'neoplasm', 'vertebral', 'column', 'malignant', 'neoplasms', 'bone', 'articular', 'cartilage', 'neoplasms']"
neo,"['c413', 'malignant', 'neoplasm', 'ribs', 'sternum', 'clavicle', 'malignant', 'neoplasms', 'bone', 'articular', 'cartilage', 'neoplasms']"
neo,"['c414', 'malignant', 'neoplasm', 'pelvic', 'bones', 'sacrum', 'coccyx', 'malignant', 'neoplasms', 'bone', 'articular', 'cartilage', 'neoplasms']"
neo,"['c419', 'malignant', 'neoplasm', 'bone', 'articular', 'cartilage', 'unspecified', 'malignant', 'neoplasms', 'bone', 'articular', 'cartilage', 'neoplasms']"
neo,"['c431', 'malignant', 'melanoma', 'eyelid', 'including', 'canthus', 'melanoma', 'malignant', 'neoplasms', 'skin', 'neoplasms']"
neo,"['c432', 'malignant', 'melanoma', 'ear', 'external', 'auricular', 'canal', 'melanoma', 'malignant', 'neoplasms', 'skin', 'neoplasms']"
neo,"['c433', 'malignant', 'melanoma', 'unspecified', 'parts', 'face', 'melanoma', 'malignant', 'neoplasms', 'skin', 'neoplasms']"
neo,"['c434', 'malignant', 'melanoma', 'scalp', 'neck', 'melanoma', 'malignant', 'neoplasms', 'skin', 'neoplasms']"
neo,"['c435', 'malignant', 'melanoma', 'trunk', 'melanoma', 'malignant', 'neoplasms', 'skin', 'neoplasms']"
neo,"['c436', 'malignant', 'melanoma', 'upper', 'limb', 'including', 'shoulder', 'melanoma', 'malignant', 'neoplasms', 'skin', 'neoplasms']"
neo,"['c437', 'malignant', 'melanoma', 'lower', 'limb', 'including', 'hip', 'melanoma', 'malignant', 'neoplasms', 'skin', 'neoplasms']"
neo,"['c439', 'malignant', 'melanoma', 'skin', 'unspecified', 'melanoma', 'malignant', 'neoplasms', 'skin', 'neoplasms']"
neo,"['c442', 'unspecified', 'malignant', 'neoplasm', 'skin', 'ear', 'external', 'auricular', 'canal', 'melanoma', 'malignant', 'neoplasms', 'skin', 'neoplasms']"
neo,"['c443', 'unspecified', 'malignant', 'neoplasm', 'skin', 'unspecified', 'parts', 'face', 'melanoma', 'malignant', 'neoplasms', 'skin', 'neoplasms']"
neo,"['c444', 'unspecified', 'malignant', 'neoplasm', 'skin', 'scalp', 'neck', 'melanoma', 'malignant', 'neoplasms', 'skin', 'neoplasms']"
neo,"['c445', 'unspecified', 'malignant', 'neoplasm', 'skin', 'trunk', 'melanoma', 'malignant', 'neoplasms', 'skin', 'neoplasms']"
neo,"['c446', 'unspecified', 'malignant', 'neoplasm', 'skin', 'upper', 'limb', 'including', 'shoulder', 'melanoma', 'malignant', 'neoplasms', 'skin', 'neoplasms']"
neo,"['c447', 'unspecified', 'malignant', 'neoplasm', 'skin', 'lower', 'limb', 'including', 'hip', 'malignant', 'neoplasms', 'mesothelial', 'soft', 'tissue', 'neoplasms']"
neo,"['c449', 'unspecified', 'malignant', 'neoplasm', 'skin', 'unspecified', 'malignant', 'neoplasms', 'mesothelial', 'soft', 'tissue', 'neoplasms']"
neo,"['c451', 'mesothelioma', 'peritoneum', 'malignant', 'neoplasms', 'mesothelial', 'soft', 'tissue', 'neoplasms']"
neo,"['c457', 'mesothelioma', 'sites', 'malignant', 'neoplasms', 'mesothelial', 'soft', 'tissue', 'neoplasms']"
neo,"['c459', 'mesothelioma', 'unspecified', 'malignant', 'neoplasms', 'mesothelial', 'soft', 'tissue', 'neoplasms']"
neo,"['c471', 'malignant', 'neoplasm', 'peripheral', 'nerves', 'upper', 'limb', 'including', 'shoulder', 'malignant', 'neoplasms', 'mesothelial', 'soft', 'tissue', 'neoplasms']"
neo,"['c472', 'malignant', 'neoplasm', 'peripheral', 'nerves', 'lower', 'limb', 'including', 'hip', 'malignant', 'neoplasms', 'mesothelial', 'soft', 'tissue', 'neoplasms']"
neo,"['c473', 'malignant', 'neoplasm', 'peripheral', 'nerves', 'thorax', 'malignant', 'neoplasms', 'mesothelial', 'soft', 'tissue', 'neoplasms']"
neo,"['c475', 'malignant', 'neoplasm', 'peripheral', 'nerves', 'pelvis', 'melanoma', 'malignant', 'neoplasms', 'skin', 'neoplasms']"
neo,"['c479', 'malignant', 'neoplasm', 'peripheral', 'nerves', 'autonomic', 'nervous', 'system', 'unspecified', 'melanoma', 'malignant', 'neoplasms', 'skin', 'neoplasms']"
neo,"['c481', 'malignant', 'neoplasm', 'specified', 'parts', 'peritoneum', 'melanoma', 'malignant', 'neoplasms', 'skin', 'neoplasms']"
neo,"['c482', 'malignant', 'neoplasm', 'peritoneum', 'unspecified', 'melanoma', 'malignant', 'neoplasms', 'skin', 'neoplasms']"
neo,"['c491', 'malignant', 'neoplasm', 'connective', 'soft', 'tissue', 'upper', 'limb', 'including', 'shoulder', 'melanoma', 'malignant', 'neoplasms', 'skin', 'neoplasms']"
neo,"['c492', 'malignant', 'neoplasm', 'connective', 'soft', 'tissue', 'lower', 'limb', 'including', 'hip', 'melanoma', 'malignant', 'neoplasms', 'skin', 'neoplasms']"
neo,"['c493', 'malignant', 'neoplasm', 'connective', 'soft', 'tissue', 'thorax', 'melanoma', 'malignant', 'neoplasms', 'skin', 'neoplasms']"
neo,"['c494', 'malignant', 'neoplasm', 'connective', 'soft', 'tissue', 'abdomen', 'melanoma', 'malignant', 'neoplasms', 'skin', 'neoplasms']"
neo,"['c495', 'malignant', 'neoplasm', 'connective', 'soft', 'tissue', 'pelvis', 'melanoma', 'malignant', 'neoplasms', 'skin', 'neoplasms']"
neo,"['c498', 'malignant', 'neoplasm', 'overlapping', 'sites', 'connective', 'soft', 'tissue', 'melanoma', 'malignant', 'neoplasms', 'skin', 'neoplasms']"
neo,"['c499', 'malignant', 'neoplasm', 'connective', 'soft', 'tissue', 'unspecified', 'melanoma', 'malignant', 'neoplasms', 'skin', 'neoplasms']"
neo,"['c501', 'malignant', 'neoplasm', 'central', 'portion', 'breast', 'malignant', 'neoplasms', 'breast', 'neoplasms']"
neo,"['c509', 'malignant', 'neoplasm', 'breast', 'unspecified', 'site', 'malignant', 'neoplasms', 'breast', 'neoplasms']"
neo,"['c519', 'malignant', 'neoplasm', 'vulva', 'unspecified', 'malignant', 'neoplasms', 'female', 'genital', 'organs', 'neoplasms']"
