code,causeid,short_desc,long_desc,three_digit,sub_chapter,chapter
A413,none,Sepsis due to Hemophilus influenzae,Sepsis due to Hemophilus influenzae,A41,Other Bacterial Diseases,Certain infectious and parasitic diseases
A414,none,Sepsis due to anaerobes,Sepsis due to anaerobes,A41,Other Bacterial Diseases,Certain infectious and parasitic diseases
A415,none,Sepsis due to other Gram-negative organisms,Sepsis due to other Gram-negative organisms,A41,Other Bacterial Diseases,Certain infectious and parasitic diseases
A418,none,Other specified sepsis,Other specified sepsis,A41,Other Bacterial Diseases,Certain infectious and parasitic diseases
A419,none,"Sepsis, unspecified organism","Sepsis, unspecified organism",A41,Other Bacterial Diseases,Certain infectious and parasitic diseases
A430,none,Pulmonary nocardiosis,Pulmonary nocardiosis,A43,Other Bacterial Diseases,Certain infectious and parasitic diseases
A438,none,Other forms of nocardiosis,Other forms of nocardiosis,A43,Other Bacterial Diseases,Certain infectious and parasitic diseases
A439,none,"Nocardiosis, unspecified","Nocardiosis, unspecified",A43,Other Bacterial Diseases,Certain infectious and parasitic diseases
A480,none,Gas gangrene,Gas gangrene,A48,Other Bacterial Diseases,Certain infectious and parasitic diseases
A481,respinfect,Legionnaires' disease,Legionnaires' disease,A48,Other Bacterial Diseases,Certain infectious and parasitic diseases
A483,none,Toxic shock syndrome,Toxic shock syndrome,A48,Other Bacterial Diseases,Certain infectious and parasitic diseases
A488,none,Other specified bacterial diseases,Other specified bacterial diseases,A48,Other Bacterial Diseases,Certain infectious and parasitic diseases
A490,none,"Staphylococcal infection, unspecified site","Staphylococcal infection, unspecified site",A49,Other Bacterial Diseases,Certain infectious and parasitic diseases
A491,none,"Streptococcal infection, unspecified site","Streptococcal infection, unspecified site",A49,Other Bacterial Diseases,Certain infectious and parasitic diseases
A498,none,Other bacterial infections of unspecified site,Other bacterial infections of unspecified site,A49,Other Bacterial Diseases,Certain infectious and parasitic diseases
A499,none,"Bacterial infection, unspecified","Bacterial infection, unspecified",A49,Other Bacterial Diseases,Certain infectious and parasitic diseases
A509,hiv_std,"Congenital syphilis, unspecified","Congenital syphilis, unspecified",A50,Infections With A Predominantly Sexual Mode Of Transmission,Certain infectious and parasitic diseases
A539,hiv_std,"Syphilis, unspecified","Syphilis, unspecified",A53,Infections With A Predominantly Sexual Mode Of Transmission,Certain infectious and parasitic diseases
A810,none,Creutzfeldt-Jakob disease,Creutzfeldt-Jakob disease,A81,Viral And Prion Infections Of The Central Nervous System,Certain infectious and parasitic diseases
A812,infect,Progressive multifocal leukoencephalopathy,Progressive multifocal leukoencephalopathy,A81,Viral And Prion Infections Of The Central Nervous System,Certain infectious and parasitic diseases
A858,infect,Other specified viral encephalitis,Other specified viral encephalitis,A85,Viral And Prion Infections Of The Central Nervous System,Certain infectious and parasitic diseases
A86,infect,Unspecified viral encephalitis,Unspecified viral encephalitis,A86,Viral And Prion Infections Of The Central Nervous System,Certain infectious and parasitic diseases
A879,infect,"Viral meningitis, unspecified","Viral meningitis, unspecified",A87,Viral And Prion Infections Of The Central Nervous System,Certain infectious and parasitic diseases
B003,infect,Herpesviral meningitis,Herpesviral meningitis,B00,Viral Infections Characterized By Skin And Mucous Membrane Lesions,Certain infectious and parasitic diseases
B004,infect,Herpesviral encephalitis,Herpesviral encephalitis,B00,Viral Infections Characterized By Skin And Mucous Membrane Lesions,Certain infectious and parasitic diseases
B009,infect,"Herpesviral infection, unspecified","Herpesviral infection, unspecified",B00,Viral Infections Characterized By Skin And Mucous Membrane Lesions,Certain infectious and parasitic diseases
B011,infect,"Varicella encephalitis, myelitis and encephalomyelitis","Varicella encephalitis, myelitis and encephalomyelitis",B01,Viral Infections Characterized By Skin And Mucous Membrane Lesions,Certain infectious and parasitic diseases
B019,infect,Varicella without complication,Varicella without complication,B01,Viral Infections Characterized By Skin And Mucous Membrane Lesions,Certain infectious and parasitic diseases
B020,hiv_std,Zoster encephalitis,Zoster encephalitis,B02,Viral Infections Characterized By Skin And Mucous Membrane Lesions,Certain infectious and parasitic diseases
B022,infect,Zoster with other nervous system involvement,Zoster with other nervous system involvement,B02,Viral Infections Characterized By Skin And Mucous Membrane Lesions,Certain infectious and parasitic diseases
B023,infect,Zoster ocular disease,Zoster ocular disease,B02,Viral Infections Characterized By Skin And Mucous Membrane Lesions,Certain infectious and parasitic diseases
B027,infect,Disseminated zoster,Disseminated zoster,B02,Viral Infections Characterized By Skin And Mucous Membrane Lesions,Certain infectious and parasitic diseases
B029,infect,Zoster without complications,Zoster without complications,B02,Viral Infections Characterized By Skin And Mucous Membrane Lesions,Certain infectious and parasitic diseases
B159,infect,Hepatitis A without hepatic coma,Hepatitis A without hepatic coma,B15,Viral Hepatitis,Certain infectious and parasitic diseases
B162,infect,Acute hepatitis B without delta-agent with hepatic coma,Acute hepatitis B without delta-agent with hepatic coma,B16,Viral Hepatitis,Certain infectious and parasitic diseases
B169,infect,Acute hepatitis B w/o delta-agent and without hepatic coma,Acute hepatitis B without delta-agent and without hepatic coma,B16,Viral Hepatitis,Certain infectious and parasitic diseases
B171,infect,Acute hepatitis C,Acute hepatitis C,B17,Viral Hepatitis,Certain infectious and parasitic diseases
B180,none,Chronic viral hepatitis B with delta-agent,Chronic viral hepatitis B with delta-agent,B18,Viral Hepatitis,Certain infectious and parasitic diseases
B181,digest,Chronic viral hepatitis B without delta-agent,Chronic viral hepatitis B without delta-agent,B18,Viral Hepatitis,Certain infectious and parasitic diseases
B182,digest,Chronic viral hepatitis C,Chronic viral hepatitis C,B18,Viral Hepatitis,Certain infectious and parasitic diseases
B199,infect,Unspecified viral hepatitis without hepatic coma,Unspecified viral hepatitis without hepatic coma,B19,Viral Hepatitis,Certain infectious and parasitic diseases
B200,none,NA,NA,NA,NA,NA
B201,hiv_std,NA,NA,NA,NA,NA
B202,hiv_std,NA,NA,NA,NA,NA
B203,hiv_std,NA,NA,NA,NA,NA
B205,hiv_std,NA,NA,NA,NA,NA
B206,hiv_std,NA,NA,NA,NA,NA
B207,hiv_std,NA,NA,NA,NA,NA
B208,hiv_std,NA,NA,NA,NA,NA
B209,hiv_std,NA,NA,NA,NA,NA
B210,none,NA,NA,NA,NA,NA
B211,hiv_std,NA,NA,NA,NA,NA
B212,hiv_std,NA,NA,NA,NA,NA
B213,hiv_std,NA,NA,NA,NA,NA
B217,hiv_std,NA,NA,NA,NA,NA
B218,hiv_std,NA,NA,NA,NA,NA
B219,hiv_std,NA,NA,NA,NA,NA
B220,none,NA,NA,NA,NA,NA
B222,hiv_std,NA,NA,NA,NA,NA
B227,hiv_std,NA,NA,NA,NA,NA
B232,hiv_std,NA,NA,NA,NA,NA
B238,hiv_std,NA,NA,NA,NA,NA
B24,infect,NA,NA,NA,NA,NA
B250,none,Cytomegaloviral pneumonitis,Cytomegaloviral pneumonitis,B25,Other Viral Diseases,Certain infectious and parasitic diseases
B258,infect,Other cytomegaloviral diseases,Other cytomegaloviral diseases,B25,Other Viral Diseases,Certain infectious and parasitic diseases
B259,infect,"Cytomegaloviral disease, unspecified","Cytomegaloviral disease, unspecified",B25,Other Viral Diseases,Certain infectious and parasitic diseases
B270,none,Gammaherpesviral mononucleosis,Gammaherpesviral mononucleosis,B27,Other Viral Diseases,Certain infectious and parasitic diseases
B279,infect,"Infectious mononucleosis, unspecified","Infectious mononucleosis, unspecified",B27,Other Viral Diseases,Certain infectious and parasitic diseases
B332,cvd,Viral carditis,Viral carditis,B33,Other Viral Diseases,Certain infectious and parasitic diseases
B333,infect,"Retrovirus infections, not elsewhere classified","Retrovirus infections, not elsewhere classified",B33,Other Viral Diseases,Certain infectious and parasitic diseases
B338,infect,Other specified viral diseases,Other specified viral diseases,B33,Other Viral Diseases,Certain infectious and parasitic diseases
B341,none,"Enterovirus infection, unspecified","Enterovirus infection, unspecified",B34,Other Viral Diseases,Certain infectious and parasitic diseases
B348,none,Other viral infections of unspecified site,Other viral infections of unspecified site,B34,Other Viral Diseases,Certain infectious and parasitic diseases
B349,none,"Viral infection, unspecified","Viral infection, unspecified",B34,Other Viral Diseases,Certain infectious and parasitic diseases
B369,none,"Superficial mycosis, unspecified","Superficial mycosis, unspecified",B36,Mycoses,Certain infectious and parasitic diseases
B370,none,Candidal stomatitis,Candidal stomatitis,B37,Mycoses,Certain infectious and parasitic diseases
B371,none,Pulmonary candidiasis,Pulmonary candidiasis,B37,Mycoses,Certain infectious and parasitic diseases
B374,none,Candidiasis of other urogenital sites,Candidiasis of other urogenital sites,B37,Mycoses,Certain infectious and parasitic diseases
B375,none,Candidal meningitis,Candidal meningitis,B37,Mycoses,Certain infectious and parasitic diseases
B376,none,Candidal endocarditis,Candidal endocarditis,B37,Mycoses,Certain infectious and parasitic diseases
B377,none,Candidal sepsis,Candidal sepsis,B37,Mycoses,Certain infectious and parasitic diseases
B378,none,Candidiasis of other sites,Candidiasis of other sites,B37,Mycoses,Certain infectious and parasitic diseases
B379,none,"Candidiasis, unspecified","Candidiasis, unspecified",B37,Mycoses,Certain infectious and parasitic diseases
B382,none,"Pulmonary coccidioidomycosis, unspecified","Pulmonary coccidioidomycosis, unspecified",B38,Mycoses,Certain infectious and parasitic diseases
B440,none,Invasive pulmonary aspergillosis,Invasive pulmonary aspergillosis,B44,Mycoses,Certain infectious and parasitic diseases
B441,none,Other pulmonary aspergillosis,Other pulmonary aspergillosis,B44,Mycoses,Certain infectious and parasitic diseases
B447,none,Disseminated aspergillosis,Disseminated aspergillosis,B44,Mycoses,Certain infectious and parasitic diseases
B448,none,Other forms of aspergillosis,Other forms of aspergillosis,B44,Mycoses,Certain infectious and parasitic diseases
B449,none,"Aspergillosis, unspecified","Aspergillosis, unspecified",B44,Mycoses,Certain infectious and parasitic diseases
B450,none,Pulmonary cryptococcosis,Pulmonary cryptococcosis,B45,Mycoses,Certain infectious and parasitic diseases
B451,none,Cerebral cryptococcosis,Cerebral cryptococcosis,B45,Mycoses,Certain infectious and parasitic diseases
B457,none,Disseminated cryptococcosis,Disseminated cryptococcosis,B45,Mycoses,Certain infectious and parasitic diseases
B465,none,"Mucormycosis, unspecified","Mucormycosis, unspecified",B46,Mycoses,Certain infectious and parasitic diseases
B479,infect,"Mycetoma, unspecified","Mycetoma, unspecified",B47,Mycoses,Certain infectious and parasitic diseases
B49,infect,Unspecified mycosis,Unspecified mycosis,B49,Mycoses,Certain infectious and parasitic diseases
B582,none,Toxoplasma meningoencephalitis,Toxoplasma meningoencephalitis,B58,Protozoal Diseases,Certain infectious and parasitic diseases
B589,none,"Toxoplasmosis, unspecified","Toxoplasmosis, unspecified",B58,Protozoal Diseases,Certain infectious and parasitic diseases
B59,infect,Pneumocystosis,Pneumocystosis,B59,Protozoal Diseases,Certain infectious and parasitic diseases
B602,ntd,Naegleriasis,Naegleriasis,B60,Protozoal Diseases,Certain infectious and parasitic diseases
B787,none,Disseminated strongyloidiasis,Disseminated strongyloidiasis,B78,Helminthiases,Certain infectious and parasitic diseases
B789,none,"Strongyloidiasis, unspecified","Strongyloidiasis, unspecified",B78,Helminthiases,Certain infectious and parasitic diseases
B900,none,Sequelae of central nervous system tuberculosis,Sequelae of central nervous system tuberculosis,B90,Sequelae Of Infectious And Parasitic Diseases,Certain infectious and parasitic diseases
B908,respinfect,Sequelae of tuberculosis of other organs,Sequelae of tuberculosis of other organs,B90,Sequelae Of Infectious And Parasitic Diseases,Certain infectious and parasitic diseases
B909,respinfect,Sequelae of respiratory and unspecified tuberculosis,Sequelae of respiratory and unspecified tuberculosis,B90,Sequelae Of Infectious And Parasitic Diseases,Certain infectious and parasitic diseases
B91,infect,Sequelae of poliomyelitis,Sequelae of poliomyelitis,B91,Sequelae Of Infectious And Parasitic Diseases,Certain infectious and parasitic diseases
B941,infect,Sequelae of viral encephalitis,Sequelae of viral encephalitis,B94,Sequelae Of Infectious And Parasitic Diseases,Certain infectious and parasitic diseases
B942,infect,Sequelae of viral hepatitis,Sequelae of viral hepatitis,B94,Sequelae Of Infectious And Parasitic Diseases,Certain infectious and parasitic diseases
B948,none,Sequelae of oth infectious and parasitic diseases,Sequelae of other specified infectious and parasitic diseases,B94,Sequelae Of Infectious And Parasitic Diseases,Certain infectious and parasitic diseases
B99,none,Other and unspecified infectious diseases,Other and unspecified infectious diseases,B99,Other Infectious Diseases,Certain infectious and parasitic diseases
C009,neo,"Malignant neoplasm of lip, unspecified","Malignant neoplasm of lip, unspecified",C00,"Malignant Neoplasms Of Lip, Oral Cavity And Pharynx",Neoplasms
C01,neo,Malignant neoplasm of base of tongue,Malignant neoplasm of base of tongue,C01,"Malignant Neoplasms Of Lip, Oral Cavity And Pharynx",Neoplasms
C029,neo,"Malignant neoplasm of tongue, unspecified","Malignant neoplasm of tongue, unspecified",C02,"Malignant Neoplasms Of Lip, Oral Cavity And Pharynx",Neoplasms
C030,neo,Malignant neoplasm of upper gum,Malignant neoplasm of upper gum,C03,"Malignant Neoplasms Of Lip, Oral Cavity And Pharynx",Neoplasms
C031,neo,Malignant neoplasm of lower gum,Malignant neoplasm of lower gum,C03,"Malignant Neoplasms Of Lip, Oral Cavity And Pharynx",Neoplasms
C039,neo,"Malignant neoplasm of gum, unspecified","Malignant neoplasm of gum, unspecified",C03,"Malignant Neoplasms Of Lip, Oral Cavity And Pharynx",Neoplasms
C049,neo,"Malignant neoplasm of floor of mouth, unspecified","Malignant neoplasm of floor of mouth, unspecified",C04,"Malignant Neoplasms Of Lip, Oral Cavity And Pharynx",Neoplasms
C050,neo,Malignant neoplasm of hard palate,Malignant neoplasm of hard palate,C05,"Malignant Neoplasms Of Lip, Oral Cavity And Pharynx",Neoplasms
C051,neo,Malignant neoplasm of soft palate,Malignant neoplasm of soft palate,C05,"Malignant Neoplasms Of Lip, Oral Cavity And Pharynx",Neoplasms
C052,neo,Malignant neoplasm of uvula,Malignant neoplasm of uvula,C05,"Malignant Neoplasms Of Lip, Oral Cavity And Pharynx",Neoplasms
C059,neo,"Malignant neoplasm of palate, unspecified","Malignant neoplasm of palate, unspecified",C05,"Malignant Neoplasms Of Lip, Oral Cavity And Pharynx",Neoplasms
C060,neo,Malignant neoplasm of cheek mucosa,Malignant neoplasm of cheek mucosa,C06,"Malignant Neoplasms Of Lip, Oral Cavity And Pharynx",Neoplasms
C062,neo,Malignant neoplasm of retromolar area,Malignant neoplasm of retromolar area,C06,"Malignant Neoplasms Of Lip, Oral Cavity And Pharynx",Neoplasms
C068,neo,Malignant neoplasm of ovrlp sites of and unsp parts of mouth,Malignant neoplasm of overlapping sites of other and unspecified parts of mouth,C06,"Malignant Neoplasms Of Lip, Oral Cavity And Pharynx",Neoplasms
C069,neo,"Malignant neoplasm of mouth, unspecified","Malignant neoplasm of mouth, unspecified",C06,"Malignant Neoplasms Of Lip, Oral Cavity And Pharynx",Neoplasms
C07,neo,Malignant neoplasm of parotid gland,Malignant neoplasm of parotid gland,C07,"Malignant Neoplasms Of Lip, Oral Cavity And Pharynx",Neoplasms
C080,none,Malignant neoplasm of submandibular gland,Malignant neoplasm of submandibular gland,C08,"Malignant Neoplasms Of Lip, Oral Cavity And Pharynx",Neoplasms
C089,neo,"Malignant neoplasm of major salivary gland, unspecified","Malignant neoplasm of major salivary gland, unspecified",C08,"Malignant Neoplasms Of Lip, Oral Cavity And Pharynx",Neoplasms
C090,neo,Malignant neoplasm of tonsillar fossa,Malignant neoplasm of tonsillar fossa,C09,"Malignant Neoplasms Of Lip, Oral Cavity And Pharynx",Neoplasms
C099,neo,"Malignant neoplasm of tonsil, unspecified","Malignant neoplasm of tonsil, unspecified",C09,"Malignant Neoplasms Of Lip, Oral Cavity And Pharynx",Neoplasms
C100,none,Malignant neoplasm of vallecula,Malignant neoplasm of vallecula,C10,"Malignant Neoplasms Of Lip, Oral Cavity And Pharynx",Neoplasms
C109,neo,"Malignant neoplasm of oropharynx, unspecified","Malignant neoplasm of oropharynx, unspecified",C10,"Malignant Neoplasms Of Lip, Oral Cavity And Pharynx",Neoplasms
C111,neo,Malignant neoplasm of posterior wall of nasopharynx,Malignant neoplasm of posterior wall of nasopharynx,C11,"Malignant Neoplasms Of Lip, Oral Cavity And Pharynx",Neoplasms
C119,neo,"Malignant neoplasm of nasopharynx, unspecified","Malignant neoplasm of nasopharynx, unspecified",C11,"Malignant Neoplasms Of Lip, Oral Cavity And Pharynx",Neoplasms
C12,neo,Malignant neoplasm of pyriform sinus,Malignant neoplasm of pyriform sinus,C12,"Malignant Neoplasms Of Lip, Oral Cavity And Pharynx",Neoplasms
C130,none,Malignant neoplasm of postcricoid region,Malignant neoplasm of postcricoid region,C13,"Malignant Neoplasms Of Lip, Oral Cavity And Pharynx",Neoplasms
C139,neo,"Malignant neoplasm of hypopharynx, unspecified","Malignant neoplasm of hypopharynx, unspecified",C13,"Malignant Neoplasms Of Lip, Oral Cavity And Pharynx",Neoplasms
C140,none,"Malignant neoplasm of pharynx, unspecified","Malignant neoplasm of pharynx, unspecified",C14,"Malignant Neoplasms Of Lip, Oral Cavity And Pharynx",Neoplasms
C148,none,"Malig neoplm of ovrlp sites of lip, oral cavity and pharynx","Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx",C14,"Malignant Neoplasms Of Lip, Oral Cavity And Pharynx",Neoplasms
C150,none,NA,NA,NA,NA,NA
C152,neo,NA,NA,NA,NA,NA
C153,neo,Malignant neoplasm of upper third of esophagus,Malignant neoplasm of upper third of esophagus,C15,Malignant Neoplasms Of Digestive Organs,Neoplasms
C154,neo,Malignant neoplasm of middle third of esophagus,Malignant neoplasm of middle third of esophagus,C15,Malignant Neoplasms Of Digestive Organs,Neoplasms
C155,neo,Malignant neoplasm of lower third of esophagus,Malignant neoplasm of lower third of esophagus,C15,Malignant Neoplasms Of Digestive Organs,Neoplasms
C159,neo,"Malignant neoplasm of esophagus, unspecified","Malignant neoplasm of esophagus, unspecified",C15,Malignant Neoplasms Of Digestive Organs,Neoplasms
C160,none,Malignant neoplasm of cardia,Malignant neoplasm of cardia,C16,Malignant Neoplasms Of Digestive Organs,Neoplasms
C161,neo,Malignant neoplasm of fundus of stomach,Malignant neoplasm of fundus of stomach,C16,Malignant Neoplasms Of Digestive Organs,Neoplasms
C163,neo,Malignant neoplasm of pyloric antrum,Malignant neoplasm of pyloric antrum,C16,Malignant Neoplasms Of Digestive Organs,Neoplasms
C164,neo,Malignant neoplasm of pylorus,Malignant neoplasm of pylorus,C16,Malignant Neoplasms Of Digestive Organs,Neoplasms
C169,neo,"Malignant neoplasm of stomach, unspecified","Malignant neoplasm of stomach, unspecified",C16,Malignant Neoplasms Of Digestive Organs,Neoplasms
C170,none,Malignant neoplasm of duodenum,Malignant neoplasm of duodenum,C17,Malignant Neoplasms Of Digestive Organs,Neoplasms
C171,neo,Malignant neoplasm of jejunum,Malignant neoplasm of jejunum,C17,Malignant Neoplasms Of Digestive Organs,Neoplasms
C172,neo,Malignant neoplasm of ileum,Malignant neoplasm of ileum,C17,Malignant Neoplasms Of Digestive Organs,Neoplasms
C179,neo,"Malignant neoplasm of small intestine, unspecified","Malignant neoplasm of small intestine, unspecified",C17,Malignant Neoplasms Of Digestive Organs,Neoplasms
C180,none,Malignant neoplasm of cecum,Malignant neoplasm of cecum,C18,Malignant Neoplasms Of Digestive Organs,Neoplasms
C181,neo,Malignant neoplasm of appendix,Malignant neoplasm of appendix,C18,Malignant Neoplasms Of Digestive Organs,Neoplasms
C182,neo,Malignant neoplasm of ascending colon,Malignant neoplasm of ascending colon,C18,Malignant Neoplasms Of Digestive Organs,Neoplasms
C183,neo,Malignant neoplasm of hepatic flexure,Malignant neoplasm of hepatic flexure,C18,Malignant Neoplasms Of Digestive Organs,Neoplasms
C184,neo,Malignant neoplasm of transverse colon,Malignant neoplasm of transverse colon,C18,Malignant Neoplasms Of Digestive Organs,Neoplasms
C185,neo,Malignant neoplasm of splenic flexure,Malignant neoplasm of splenic flexure,C18,Malignant Neoplasms Of Digestive Organs,Neoplasms
C186,neo,Malignant neoplasm of descending colon,Malignant neoplasm of descending colon,C18,Malignant Neoplasms Of Digestive Organs,Neoplasms
C187,neo,Malignant neoplasm of sigmoid colon,Malignant neoplasm of sigmoid colon,C18,Malignant Neoplasms Of Digestive Organs,Neoplasms
C188,neo,Malignant neoplasm of overlapping sites of colon,Malignant neoplasm of overlapping sites of colon,C18,Malignant Neoplasms Of Digestive Organs,Neoplasms
C189,neo,"Malignant neoplasm of colon, unspecified","Malignant neoplasm of colon, unspecified",C18,Malignant Neoplasms Of Digestive Organs,Neoplasms
C19,neo,Malignant neoplasm of rectosigmoid junction,Malignant neoplasm of rectosigmoid junction,C19,Malignant Neoplasms Of Digestive Organs,Neoplasms
C20,neo,Malignant neoplasm of rectum,Malignant neoplasm of rectum,C20,Malignant Neoplasms Of Digestive Organs,Neoplasms
C210,none,"Malignant neoplasm of anus, unspecified","Malignant neoplasm of anus, unspecified",C21,Malignant Neoplasms Of Digestive Organs,Neoplasms
C211,neo,Malignant neoplasm of anal canal,Malignant neoplasm of anal canal,C21,Malignant Neoplasms Of Digestive Organs,Neoplasms
C218,neo,"Malig neoplasm of ovrlp sites of rectum, anus and anal canal","Malignant neoplasm of overlapping sites of rectum, anus and anal canal",C21,Malignant Neoplasms Of Digestive Organs,Neoplasms
C220,none,Liver cell carcinoma,Liver cell carcinoma,C22,Malignant Neoplasms Of Digestive Organs,Neoplasms
C221,neo,Intrahepatic bile duct carcinoma,Intrahepatic bile duct carcinoma,C22,Malignant Neoplasms Of Digestive Organs,Neoplasms
C222,neo,Hepatoblastoma,Hepatoblastoma,C22,Malignant Neoplasms Of Digestive Organs,Neoplasms
C223,neo,Angiosarcoma of liver,Angiosarcoma of liver,C22,Malignant Neoplasms Of Digestive Organs,Neoplasms
C229,neo,"Malig neoplasm of liver, not specified as primary or sec","Malignant neoplasm of liver, not specified as primary or secondary",C22,Malignant Neoplasms Of Digestive Organs,Neoplasms
C23,neo,Malignant neoplasm of gallbladder,Malignant neoplasm of gallbladder,C23,Malignant Neoplasms Of Digestive Organs,Neoplasms
C240,none,Malignant neoplasm of extrahepatic bile duct,Malignant neoplasm of extrahepatic bile duct,C24,Malignant Neoplasms Of Digestive Organs,Neoplasms
C241,neo,Malignant neoplasm of ampulla of Vater,Malignant neoplasm of ampulla of Vater,C24,Malignant Neoplasms Of Digestive Organs,Neoplasms
C248,neo,Malignant neoplasm of overlapping sites of biliary tract,Malignant neoplasm of overlapping sites of biliary tract,C24,Malignant Neoplasms Of Digestive Organs,Neoplasms
C249,neo,"Malignant neoplasm of biliary tract, unspecified","Malignant neoplasm of biliary tract, unspecified",C24,Malignant Neoplasms Of Digestive Organs,Neoplasms
