predicted_causeid,code,short_desc,long_desc,three_digit,sub_chapter,chapter,all_text
infect,B447,Disseminated aspergillosis,Disseminated aspergillosis,B44,Mycoses,Certain infectious and parasitic diseases,B447 Disseminated aspergillosis Mycoses Certain infectious and parasitic diseases
infect,B448,Other forms of aspergillosis,Other forms of aspergillosis,B44,Mycoses,Certain infectious and parasitic diseases,B448 Other forms of aspergillosis Mycoses Certain infectious and parasitic diseases
infect,B449,"Aspergillosis, unspecified","Aspergillosis, unspecified",B44,Mycoses,Certain infectious and parasitic diseases,"B449 Aspergillosis, unspecified Mycoses Certain infectious and parasitic diseases"
infect,B450,Pulmonary cryptococcosis,Pulmonary cryptococcosis,B45,Mycoses,Certain infectious and parasitic diseases,B450 Pulmonary cryptococcosis Mycoses Certain infectious and parasitic diseases
infect,B451,Cerebral cryptococcosis,Cerebral cryptococcosis,B45,Mycoses,Certain infectious and parasitic diseases,B451 Cerebral cryptococcosis Mycoses Certain infectious and parasitic diseases
infect,B457,Disseminated cryptococcosis,Disseminated cryptococcosis,B45,Mycoses,Certain infectious and parasitic diseases,B457 Disseminated cryptococcosis Mycoses Certain infectious and parasitic diseases
infect,B465,"Mucormycosis, unspecified","Mucormycosis, unspecified",B46,Mycoses,Certain infectious and parasitic diseases,"B465 Mucormycosis, unspecified Mycoses Certain infectious and parasitic diseases"
infect,B582,Toxoplasma meningoencephalitis,Toxoplasma meningoencephalitis,B58,Protozoal Diseases,Certain infectious and parasitic diseases,B582 Toxoplasma meningoencephalitis Protozoal Diseases Certain infectious and parasitic diseases
infect,B589,"Toxoplasmosis, unspecified","Toxoplasmosis, unspecified",B58,Protozoal Diseases,Certain infectious and parasitic diseases,"B589 Toxoplasmosis, unspecified Protozoal Diseases Certain infectious and parasitic diseases"
infect,B787,Disseminated strongyloidiasis,Disseminated strongyloidiasis,B78,Helminthiases,Certain infectious and parasitic diseases,B787 Disseminated strongyloidiasis Helminthiases Certain infectious and parasitic diseases
infect,B789,"Strongyloidiasis, unspecified","Strongyloidiasis, unspecified",B78,Helminthiases,Certain infectious and parasitic diseases,"B789 Strongyloidiasis, unspecified Helminthiases Certain infectious and parasitic diseases"
infect,B900,Sequelae of central nervous system tuberculosis,Sequelae of central nervous system tuberculosis,B90,Sequelae Of Infectious And Parasitic Diseases,Certain infectious and parasitic diseases,B900 Sequelae of central nervous system tuberculosis Sequelae Of Infectious And Parasitic Diseases Certain infectious and parasitic diseases
infect,B948,Sequelae of oth infectious and parasitic diseases,Sequelae of other specified infectious and parasitic diseases,B94,Sequelae Of Infectious And Parasitic Diseases,Certain infectious and parasitic diseases,B948 Sequelae of other specified infectious and parasitic diseases Sequelae Of Infectious And Parasitic Diseases Certain infectious and parasitic diseases
infect,B99,Other and unspecified infectious diseases,Other and unspecified infectious diseases,B99,Other Infectious Diseases,Certain infectious and parasitic diseases,B99 Other and unspecified infectious diseases Other Infectious Diseases Certain infectious and parasitic diseases
neo,C080,Malignant neoplasm of submandibular gland,Malignant neoplasm of submandibular gland,C08,"Malignant Neoplasms Of Lip, Oral Cavity And Pharynx",Neoplasms,"C080 Malignant neoplasm of submandibular gland Malignant Neoplasms Of Lip, Oral Cavity And Pharynx Neoplasms"
neo,C100,Malignant neoplasm of vallecula,Malignant neoplasm of vallecula,C10,"Malignant Neoplasms Of Lip, Oral Cavity And Pharynx",Neoplasms,"C100 Malignant neoplasm of vallecula Malignant Neoplasms Of Lip, Oral Cavity And Pharynx Neoplasms"
neo,C130,Malignant neoplasm of postcricoid region,Malignant neoplasm of postcricoid region,C13,"Malignant Neoplasms Of Lip, Oral Cavity And Pharynx",Neoplasms,"C130 Malignant neoplasm of postcricoid region Malignant Neoplasms Of Lip, Oral Cavity And Pharynx Neoplasms"
neo,C140,"Malignant neoplasm of pharynx, unspecified","Malignant neoplasm of pharynx, unspecified",C14,"Malignant Neoplasms Of Lip, Oral Cavity And Pharynx",Neoplasms,"C140 Malignant neoplasm of pharynx, unspecified Malignant Neoplasms Of Lip, Oral Cavity And Pharynx Neoplasms"
neo,C148,"Malig neoplm of ovrlp sites of lip, oral cavity and pharynx","Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx",C14,"Malignant Neoplasms Of Lip, Oral Cavity And Pharynx",Neoplasms,"C148 Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx Malignant Neoplasms Of Lip, Oral Cavity And Pharynx Neoplasms"
neo,C160,Malignant neoplasm of cardia,Malignant neoplasm of cardia,C16,Malignant Neoplasms Of Digestive Organs,Neoplasms,C160 Malignant neoplasm of cardia Malignant Neoplasms Of Digestive Organs Neoplasms
neo,C170,Malignant neoplasm of duodenum,Malignant neoplasm of duodenum,C17,Malignant Neoplasms Of Digestive Organs,Neoplasms,C170 Malignant neoplasm of duodenum Malignant Neoplasms Of Digestive Organs Neoplasms
neo,C180,Malignant neoplasm of cecum,Malignant neoplasm of cecum,C18,Malignant Neoplasms Of Digestive Organs,Neoplasms,C180 Malignant neoplasm of cecum Malignant Neoplasms Of Digestive Organs Neoplasms
neo,C210,"Malignant neoplasm of anus, unspecified","Malignant neoplasm of anus, unspecified",C21,Malignant Neoplasms Of Digestive Organs,Neoplasms,"C210 Malignant neoplasm of anus, unspecified Malignant Neoplasms Of Digestive Organs Neoplasms"
neo,C220,Liver cell carcinoma,Liver cell carcinoma,C22,Malignant Neoplasms Of Digestive Organs,Neoplasms,C220 Liver cell carcinoma Malignant Neoplasms Of Digestive Organs Neoplasms
neo,C240,Malignant neoplasm of extrahepatic bile duct,Malignant neoplasm of extrahepatic bile duct,C24,Malignant Neoplasms Of Digestive Organs,Neoplasms,C240 Malignant neoplasm of extrahepatic bile duct Malignant Neoplasms Of Digestive Organs Neoplasms
neo,C250,Malignant neoplasm of head of pancreas,Malignant neoplasm of head of pancreas,C25,Malignant Neoplasms Of Digestive Organs,Neoplasms,C250 Malignant neoplasm of head of pancreas Malignant Neoplasms Of Digestive Organs Neoplasms
neo,C260,"Malignant neoplasm of intestinal tract, part unspecified","Malignant neoplasm of intestinal tract, part unspecified",C26,Malignant Neoplasms Of Digestive Organs,Neoplasms,"C260 Malignant neoplasm of intestinal tract, part unspecified Malignant Neoplasms Of Digestive Organs Neoplasms"
neo,C261,Malignant neoplasm of spleen,Malignant neoplasm of spleen,C26,Malignant Neoplasms Of Digestive Organs,Neoplasms,C261 Malignant neoplasm of spleen Malignant Neoplasms Of Digestive Organs Neoplasms
neo,C269,Malignant neoplasm of ill-defined sites within the dgstv sys,Malignant neoplasm of ill-defined sites within the digestive system,C26,Malignant Neoplasms Of Digestive Organs,Neoplasms,C269 Malignant neoplasm of ill-defined sites within the digestive system Malignant Neoplasms Of Digestive Organs Neoplasms
neo,C300,Malignant neoplasm of nasal cavity,Malignant neoplasm of nasal cavity,C30,Malignant Neoplasms Of Respiratory And Intrathoracic Organs,Neoplasms,C300 Malignant neoplasm of nasal cavity Malignant Neoplasms Of Respiratory And Intrathoracic Organs Neoplasms
neo,C310,Malignant neoplasm of maxillary sinus,Malignant neoplasm of maxillary sinus,C31,Malignant Neoplasms Of Respiratory And Intrathoracic Organs,Neoplasms,C310 Malignant neoplasm of maxillary sinus Malignant Neoplasms Of Respiratory And Intrathoracic Organs Neoplasms
neo,C320,Malignant neoplasm of glottis,Malignant neoplasm of glottis,C32,Malignant Neoplasms Of Respiratory And Intrathoracic Organs,Neoplasms,C320 Malignant neoplasm of glottis Malignant Neoplasms Of Respiratory And Intrathoracic Organs Neoplasms
neo,C340,Malignant neoplasm of main bronchus,Malignant neoplasm of main bronchus,C34,Malignant Neoplasms Of Respiratory And Intrathoracic Organs,Neoplasms,C340 Malignant neoplasm of main bronchus Malignant Neoplasms Of Respiratory And Intrathoracic Organs Neoplasms
neo,C380,Malignant neoplasm of heart,Malignant neoplasm of heart,C38,Malignant Neoplasms Of Respiratory And Intrathoracic Organs,Neoplasms,C380 Malignant neoplasm of heart Malignant Neoplasms Of Respiratory And Intrathoracic Organs Neoplasms
neo,C399,"Malignant neoplasm of lower respiratory tract, part unsp","Malignant neoplasm of lower respiratory tract, part unspecified",C39,Malignant Neoplasms Of Respiratory And Intrathoracic Organs,Neoplasms,"C399 Malignant neoplasm of lower respiratory tract, part unspecified Malignant Neoplasms Of Respiratory And Intrathoracic Organs Neoplasms"
neo,C400,Malignant neoplasm of scapula and long bones of upper limb,Malignant neoplasm of scapula and long bones of upper limb,C40,Malignant Neoplasms Of Bone And Articular Cartilage,Neoplasms,C400 Malignant neoplasm of scapula and long bones of upper limb Malignant Neoplasms Of Bone And Articular Cartilage Neoplasms
neo,C410,Malignant neoplasm of bones of skull and face,Malignant neoplasm of bones of skull and face,C41,Malignant Neoplasms Of Bone And Articular Cartilage,Neoplasms,C410 Malignant neoplasm of bones of skull and face Malignant Neoplasms Of Bone And Articular Cartilage Neoplasms
neo,C430,Malignant melanoma of lip,Malignant melanoma of lip,C43,Melanoma And Other Malignant Neoplasms Of Skin,Neoplasms,C430 Malignant melanoma of lip Melanoma And Other Malignant Neoplasms Of Skin Neoplasms
neo,C440,Other and unspecified malignant neoplasm of skin of lip,Other and unspecified malignant neoplasm of skin of lip,C44,Melanoma And Other Malignant Neoplasms Of Skin,Neoplasms,C440 Other and unspecified malignant neoplasm of skin of lip Melanoma And Other Malignant Neoplasms Of Skin Neoplasms
neo,C450,Mesothelioma of pleura,Mesothelioma of pleura,C45,Malignant Neoplasms Of Mesothelial And Soft Tissue,Neoplasms,C450 Mesothelioma of pleura Malignant Neoplasms Of Mesothelial And Soft Tissue Neoplasms
neo,C460,Kaposi's sarcoma of skin,Kaposi's sarcoma of skin,C46,Malignant Neoplasms Of Mesothelial And Soft Tissue,Neoplasms,C460 Kaposi's sarcoma of skin Malignant Neoplasms Of Mesothelial And Soft Tissue Neoplasms
neo,C469,"Kaposi's sarcoma, unspecified","Kaposi's sarcoma, unspecified",C46,Malignant Neoplasms Of Mesothelial And Soft Tissue,Neoplasms,"C469 Kaposi's sarcoma, unspecified Malignant Neoplasms Of Mesothelial And Soft Tissue Neoplasms"
neo,C470,"Malignant neoplasm of prph nerves of head, face and neck","Malignant neoplasm of peripheral nerves of head, face and neck",C47,Malignant Neoplasms Of Mesothelial And Soft Tissue,Neoplasms,"C470 Malignant neoplasm of peripheral nerves of head, face and neck Malignant Neoplasms Of Mesothelial And Soft Tissue Neoplasms"
neo,C480,Malignant neoplasm of retroperitoneum,Malignant neoplasm of retroperitoneum,C48,Melanoma And Other Malignant Neoplasms Of Skin,Neoplasms,C480 Malignant neoplasm of retroperitoneum Melanoma And Other Malignant Neoplasms Of Skin Neoplasms
neo,C490,"Malig neoplm of conn and soft tissue of head, face and neck","Malignant neoplasm of connective and soft tissue of head, face and neck",C49,Melanoma And Other Malignant Neoplasms Of Skin,Neoplasms,"C490 Malignant neoplasm of connective and soft tissue of head, face and neck Melanoma And Other Malignant Neoplasms Of Skin Neoplasms"
neo,C500,Malignant neoplasm of nipple and areola,Malignant neoplasm of nipple and areola,C50,Malignant Neoplasms Of Breast,Neoplasms,C500 Malignant neoplasm of nipple and areola Malignant Neoplasms Of Breast Neoplasms
neo,C510,Malignant neoplasm of labium majus,Malignant neoplasm of labium majus,C51,Malignant Neoplasms Of Female Genital Organs,Neoplasms,C510 Malignant neoplasm of labium majus Malignant Neoplasms Of Female Genital Organs Neoplasms
neo,C530,Malignant neoplasm of endocervix,Malignant neoplasm of endocervix,C53,Malignant Neoplasms Of Female Genital Organs,Neoplasms,C530 Malignant neoplasm of endocervix Malignant Neoplasms Of Female Genital Organs Neoplasms
neo,C570,Malignant neoplasm of fallopian tube,Malignant neoplasm of fallopian tube,C57,Malignant Neoplasms Of Female Genital Organs,Neoplasms,C570 Malignant neoplasm of fallopian tube Malignant Neoplasms Of Female Genital Organs Neoplasms
neo,C579,"Malignant neoplasm of female genital organ, unspecified","Malignant neoplasm of female genital organ, unspecified",C57,Malignant Neoplasms Of Female Genital Organs,Neoplasms,"C579 Malignant neoplasm of female genital organ, unspecified Malignant Neoplasms Of Female Genital Organs Neoplasms"
neo,C639,"Malignant neoplasm of male genital organ, unspecified","Malignant neoplasm of male genital organ, unspecified",C63,Malignant Neoplasms Of Male Genital Organs,Neoplasms,"C639 Malignant neoplasm of male genital organ, unspecified Malignant Neoplasms Of Male Genital Organs Neoplasms"
neo,C680,Malignant neoplasm of urethra,Malignant neoplasm of urethra,C68,Malignant Neoplasms Of Urinary Tract,Neoplasms,C680 Malignant neoplasm of urethra Malignant Neoplasms Of Urinary Tract Neoplasms
neo,C689,"Malignant neoplasm of urinary organ, unspecified","Malignant neoplasm of urinary organ, unspecified",C68,Malignant Neoplasms Of Urinary Tract,Neoplasms,"C689 Malignant neoplasm of urinary organ, unspecified Malignant Neoplasms Of Urinary Tract Neoplasms"
neo,C690,Malignant neoplasm of conjunctiva,Malignant neoplasm of conjunctiva,C69,"Malignant Neoplasms Of Eye, Brain And Other Parts Of Central Nervous System",Neoplasms,"C690 Malignant neoplasm of conjunctiva Malignant Neoplasms Of Eye, Brain And Other Parts Of Central Nervous System Neoplasms"
neo,C700,Malignant neoplasm of cerebral meninges,Malignant neoplasm of cerebral meninges,C70,"Malignant Neoplasms Of Eye, Brain And Other Parts Of Central Nervous System",Neoplasms,"C700 Malignant neoplasm of cerebral meninges Malignant Neoplasms Of Eye, Brain And Other Parts Of Central Nervous System Neoplasms"
neo,C710,"Malignant neoplasm of cerebrum, except lobes and ventricles","Malignant neoplasm of cerebrum, except lobes and ventricles",C71,"Malignant Neoplasms Of Eye, Brain And Other Parts Of Central Nervous System",Neoplasms,"C710 Malignant neoplasm of cerebrum, except lobes and ventricles Malignant Neoplasms Of Eye, Brain And Other Parts Of Central Nervous System Neoplasms"
neo,C720,Malignant neoplasm of spinal cord,Malignant neoplasm of spinal cord,C72,"Malignant Neoplasms Of Eye, Brain And Other Parts Of Central Nervous System",Neoplasms,"C720 Malignant neoplasm of spinal cord Malignant Neoplasms Of Eye, Brain And Other Parts Of Central Nervous System Neoplasms"
neo,C740,Malignant neoplasm of cortex of adrenal gland,Malignant neoplasm of cortex of adrenal gland,C74,Malignant Neoplasms Of Thyroid And Other Endocrine Glands,Neoplasms,C740 Malignant neoplasm of cortex of adrenal gland Malignant Neoplasms Of Thyroid And Other Endocrine Glands Neoplasms
neo,C750,Malignant neoplasm of parathyroid gland,Malignant neoplasm of parathyroid gland,C75,Malignant Neoplasms Of Thyroid And Other Endocrine Glands,Neoplasms,C750 Malignant neoplasm of parathyroid gland Malignant Neoplasms Of Thyroid And Other Endocrine Glands Neoplasms
neo,C759,"Malignant neoplasm of endocrine gland, unspecified","Malignant neoplasm of endocrine gland, unspecified",C75,Malignant Neoplasms Of Thyroid And Other Endocrine Glands,Neoplasms,"C759 Malignant neoplasm of endocrine gland, unspecified Malignant Neoplasms Of Thyroid And Other Endocrine Glands Neoplasms"
neo,C760,"Malignant neoplasm of head, face and neck","Malignant neoplasm of head, face and neck",C76,"Malignant Neoplasms Of Ill-Defined, Other Secondary And Unspecified Sites",Neoplasms,"C760 Malignant neoplasm of head, face and neck Malignant Neoplasms Of Ill-Defined, Other Secondary And Unspecified Sites Neoplasms"
neo,C761,Malignant neoplasm of thorax,Malignant neoplasm of thorax,C76,"Malignant Neoplasms Of Ill-Defined, Other Secondary And Unspecified Sites",Neoplasms,"C761 Malignant neoplasm of thorax Malignant Neoplasms Of Ill-Defined, Other Secondary And Unspecified Sites Neoplasms"
neo,C762,Malignant neoplasm of abdomen,Malignant neoplasm of abdomen,C76,"Malignant Neoplasms Of Ill-Defined, Other Secondary And Unspecified Sites",Neoplasms,"C762 Malignant neoplasm of abdomen Malignant Neoplasms Of Ill-Defined, Other Secondary And Unspecified Sites Neoplasms"
neo,C763,Malignant neoplasm of pelvis,Malignant neoplasm of pelvis,C76,"Malignant Neoplasms Of Ill-Defined, Other Secondary And Unspecified Sites",Neoplasms,"C763 Malignant neoplasm of pelvis Malignant Neoplasms Of Ill-Defined, Other Secondary And Unspecified Sites Neoplasms"
neo,C765,Malignant neoplasm of lower limb,Malignant neoplasm of lower limb,C76,"Malignant Neoplasms Of Ill-Defined, Other Secondary And Unspecified Sites",Neoplasms,"C765 Malignant neoplasm of lower limb Malignant Neoplasms Of Ill-Defined, Other Secondary And Unspecified Sites Neoplasms"
neo,C768,Malignant neoplasm of other specified ill-defined sites,Malignant neoplasm of other specified ill-defined sites,C76,"Malignant Neoplasms Of Ill-Defined, Other Secondary And Unspecified Sites",Neoplasms,"C768 Malignant neoplasm of other specified ill-defined sites Malignant Neoplasms Of Ill-Defined, Other Secondary And Unspecified Sites Neoplasms"
neo,C779,"Secondary and unsp malignant neoplasm of lymph node, unsp","Secondary and unspecified malignant neoplasm of lymph node, unspecified",C77,"Malignant Neoplasms Of Ill-Defined, Other Secondary And Unspecified Sites",Neoplasms,"C779 Secondary and unspecified malignant neoplasm of lymph node, unspecified Malignant Neoplasms Of Ill-Defined, Other Secondary And Unspecified Sites Neoplasms"
neo,C780,Secondary malignant neoplasm of lung,Secondary malignant neoplasm of lung,C78,"Malignant Neoplasms Of Ill-Defined, Other Secondary And Unspecified Sites",Neoplasms,"C780 Secondary malignant neoplasm of lung Malignant Neoplasms Of Ill-Defined, Other Secondary And Unspecified Sites Neoplasms"
neo,C781,Secondary malignant neoplasm of mediastinum,Secondary malignant neoplasm of mediastinum,C78,"Malignant Neoplasms Of Ill-Defined, Other Secondary And Unspecified Sites",Neoplasms,"C781 Secondary malignant neoplasm of mediastinum Malignant Neoplasms Of Ill-Defined, Other Secondary And Unspecified Sites Neoplasms"
neo,C782,Secondary malignant neoplasm of pleura,Secondary malignant neoplasm of pleura,C78,"Malignant Neoplasms Of Ill-Defined, Other Secondary And Unspecified Sites",Neoplasms,"C782 Secondary malignant neoplasm of pleura Malignant Neoplasms Of Ill-Defined, Other Secondary And Unspecified Sites Neoplasms"
