predicted_causeid,code,short_desc,long_desc,major,three_digit
neo,C760,"T.M. SIEGE MAL DEF. DE TETE, FACE, COU","Tumeur maligne de siège mal défini de la tête, de la face et du cou",Tumeur maligne de sièges autres et mal définis,C76
neo,C761,T.M. SIEGE MAL DEF. DU THOR.,Tumeur maligne de siège mal défini du thorax,Tumeur maligne de sièges autres et mal définis,C76
neo,C762,T.M. SIEGE MAL DEF. DE L'ABDO.,Tumeur maligne de siège mal défini de l'abdomen,Tumeur maligne de sièges autres et mal définis,C76
neo,C763,T.M. SIEGE MAL DEF. DU PELVIS,Tumeur maligne de siège mal défini du pelvis,Tumeur maligne de sièges autres et mal définis,C76
neo,C765,T.M. SIEGE MAL DEF. D'UN MB. INF.,Tumeur maligne de siège mal défini d'un membre inférieur,Tumeur maligne de sièges autres et mal définis,C76
neo,C767,T.M. D'AUTRES SIEGES MAL DEFINIS,Tumeur maligne d'autres sièges mal définis,Tumeur maligne de sièges autres et mal définis,C76
neo,C768,T.M. A LOC. CONTIGUES SIEGES MAL DEF.,Tumeur maligne à localisations contiguës de sièges autres et mal définis,Tumeur maligne de sièges autres et mal définis,C76
neo,C779,T.M. IIRE OU SAI D'UN GGL. LYMPH. SAI,"Tumeur maligne secondaire et non précisée d'un ganglion lymphatique, sans précision","Tumeur maligne des ganglions lymphatiques, secondaire et non précisée",C77
neo,C780,T.M. IIRE. DU POUMON,Tumeur maligne secondaire du poumon,Tumeur maligne secondaire des organes respiratoires et digestifs,C78
neo,C781,T.M. IIRE. DU MEDIASTIN,Tumeur maligne secondaire du médiastin,Tumeur maligne secondaire des organes respiratoires et digestifs,C78
neo,C782,T.M. IIRE. DE LA PLEVRE,Tumeur maligne secondaire de la plèvre,Tumeur maligne secondaire des organes respiratoires et digestifs,C78
neo,C786,T.M. IIRE. DU RETROPERITOINE ET DU PERITOINE,Tumeur maligne secondaire du rétropéritoine et du péritoine,Tumeur maligne secondaire des organes respiratoires et digestifs,C78
neo,C787,T.M. IIRE. DU FOIE ET V.B. INTRAHEP.,Tumeur maligne secondaire du foie et des voies biliaires intrahépatiques,Tumeur maligne secondaire des organes respiratoires et digestifs,C78
neo,C788,"T.M. IIRE. DES ORG. DIG., NCA OU SAI","Tumeur maligne secondaire des organes digestifs, autres et non précisés",Tumeur maligne secondaire des organes respiratoires et digestifs,C78
neo,C792,T.M. IIRE. DE LA PEAU,Tumeur maligne secondaire de la peau,Tumeur maligne secondaire de sièges autres et non précisés,C79
neo,C793,T.M. IIRE. DU CERVEAU ET DES MENINGES CEREB.,Tumeur maligne secondaire du cerveau et des méninges cérébrales,Tumeur maligne secondaire de sièges autres et non précisés,C79
neo,C794,"T.M. IIRE. DE PARTIES DU SYST. NERV., NCA OU SAI","Tumeur maligne secondaire de parties du système nerveux, autres et non précisées",Tumeur maligne secondaire de sièges autres et non précisés,C79
neo,C795,T.M. IIRE. DES OS ET DE LA MOELLE OSSEUSE,Tumeur maligne secondaire des os et de la moelle osseuse,Tumeur maligne secondaire de sièges autres et non précisés,C79
neo,C798,T.M. IIRE. D'AUTRES SIEGES PREC.,Tumeur maligne secondaire d'autres sièges précisés,Tumeur maligne secondaire de sièges autres et non précisés,C79
neo,C80,T.M. DE SIEGE SAI,Tumeur maligne de siège non précisé,Tumeur maligne de siège non précisé,C80
neo,C800,"T.M. DE SIEGE PRIMITIF NON PREC., AINSI DECRIT","Tumeur maligne de siège primitif non précisé, ainsi décrit",Tumeur maligne de siège non précisé,C80
neo,C809,T.M. DE SIÈGE PRIMITIF SAI,Tumeur maligne de siège primitif non précisé,Tumeur maligne de siège non précisé,C80
neo,C820,"LYMPHOME FOLLICULAIRE, GRADE I","Lymphome folliculaire, grade I",Lymphome folliculaire,C82
neo,C830,LYMPHOME A PT. CELL. B,Lymphome à petites cellules B,Lymphome non folliculaire,C83
neo,C840,MYCOSIS FONGOIDE,Mycosis fongoïde,Lymphomes à cellules T/NK matures,C84
neo,C850,*** SU11 *** LYMPHOSARCOME,*** SU11 *** Lymphosarcome,"Lymphome non hodgkinien, de types autres et non précisés",C85
neo,C880,MACROGLOBULINEMIE DE WALDENSTROM,Macroglobulinémie de Waldenström,Maladies immunoprolifératives malignes,C88
otherncd,C900,MYELOME MULT.,Myélome multiple,Myélome multiple et tumeurs malignes à plasmocytes,C90
neo,C910,LEUCEMIE LYMPHOBLASTIQUE AIG.,Leucémie lymphoblastique aigüe [LLA],Leucémie lymphoïde,C91
neo,C920,LEUCEMIE MYELOBLASTIQUE AIG.,Leucémie myéloblastique aigüe [LAM],Leucémie myéloïde,C92
neo,C930,LEUCEMIE MONOBLASTIQUE/MONOCYTAIRE AIG.,Leucémie monoblastique/monocytaire aigüe,Leucémie monocytaire,C93
neo,C940,LEUCEMIE ERYTHROIDE AIG.,Leucémie érythroïde aigüe,Autres leucémies à cellules précisées,C94
neo,C950,LEUCEMIE AIG. A CELL. SAI,Leucémie aiguë à cellules non précisées,Leucémie à cellules non précisées,C95
neo,D139,T.B. DE SIEGES MAL DEFINIS DE L'APP. DIG.,Tumeur bénigne de sièges mal définis de l'appareil digestif,Tumeurs bénignes de parties autres et mal définies de l'appareil digestif,D13
neo,D140,"T.B. DE L'OREILLE MOY., DES FOSSES NASALES ET DU SINUS DE LA FACE","Tumeur bénigne de l'oreille moyenne, des fosses nasales et du sinus de la face",Tumeur bénigne de l'oreille moyenne et de l'appareil respiratoire,D14
neo,D174,T.B. LIPOMATEUSE DES ORG. INTRATHOR.,Tumeur lipomateuse bénigne des organes intrathoraciques,Tumeur lipomateuse bénigne,D17
neo,D180,"HEMANGIOME, TOUT SIEGE","Hémangiome, tout siège","Hémangiome et lymphangiome, tout siège",D18
neo,D181,"LYMPHANGIOME, TOUT SIEGE","Lymphangiome, tout siège","Hémangiome et lymphangiome, tout siège",D18
neo,D300,T.B. DU REIN,Tumeur bénigne du rein,Tumeur bénigne des organes urinaires,D30
neo,D320,T.B. DES MENINGES CEREB.,Tumeur bénigne des méninges cérébrales,Tumeur bénigne des méninges,D32
neo,D330,"T.B. DE L'ENCEPHALE, SUPRATENTORIEL","Tumeur bénigne de l'encéphale, supratentoriel",Tumeur bénigne de l'encéphale et d'autres parties du système nerveux central,D33
neo,D350,T.B. DE LA SURRENALE,Tumeur bénigne de la surrénale,"Tumeur bénigne des glandes endocrines, autres et non précisées",D35
neo,D369,T.B. DE SIEGE SAI,Tumeur bénigne de siège non précisé,Tumeur bénigne de sièges autres et non précisés,D36
neo,D370,"T. EV. IMPR., INC. DE LA LEVRE, DE LA CAV. BUCC. ET DU PHARYNX","Tumeur à évolution imprévisible ou inconnue de la lèvre, de la cavité buccale et du pharynx",Tumeur de la cavité buccale et des organes digestifs à évolution imprévisible ou inconnue,D37
neo,D376,"T. EV. IMPR., INC. DU FOIE, DE LA VESICULE ET DES VOIES BIL.","Tumeur à évolution imprévisible ou inconnue du foie, de la vésicule et des voies biliaires",Tumeur de la cavité buccale et des organes digestifs à évolution imprévisible ou inconnue,D37
neo,D377,"T. EV. IMPR., INC. D'AUTRES ORG. DIG.",Tumeur à évolution imprévisible ou inconnue d'autres organes digestifs,Tumeur de la cavité buccale et des organes digestifs à évolution imprévisible ou inconnue,D37
neo,D379,"T. EV. IMPR., INC. DE L'APP. DIG., SAI","Tumeur à évolution imprévisible ou inconnue de l'appareil digestif, sans précision",Tumeur de la cavité buccale et des organes digestifs à évolution imprévisible ou inconnue,D37
neo,D380,"T. EV. IMPR., INC. DU LARYNX",Tumeur à évolution imprévisible ou inconnue du larynx,Tumeur de l'oreille moyenne et des organes respiratoires et intrathoraciques à évolution imprévisible ou inconnue,D38
neo,D390,"T. EV. IMPR., INC. DE L'UTERUS",Tumeur à évolution imprévisible ou inconnue de l'utérus,Tumeur des organes génitaux de la femme à évolution imprévisible ou inconnue,D39
neo,D410,"T. EV. IMPR., INC. DU REIN",Tumeur à évolution imprévisible ou inconnue du rein,Tumeur des organes urinaires à évolution imprévisible ou inconnue,D41
neo,D430,"T. EV. IMPR., INC. DE L'ENCEPHALE, SUPRATENTORIEL","Tumeur à évolution imprévisible ou inconnue de l'encéphale, supratentoriel",Tumeur de l'encéphale et du système nerveux central à évolution imprévisible ou inconnue,D43
neo,D440,"T. EV. IMPR., INC. DE LA THYROIDE",Tumeur à évolution imprévisible ou inconnue de la thyroïde,Tumeur des glandes endocrines à évolution imprévisible ou inconnue,D44
otherncd,D449,"T. EV. IMPR., INC. D'UNE GLD. ENDOCRINE, SAI","Tumeur à évolution imprévisible ou inconnue d'une glande endocrine, sans précision",Tumeur des glandes endocrines à évolution imprévisible ou inconnue,D44
neo,D480,"T. EV. IMPR., INC. DES OS ET DU CARTILAGE ARTIC.",Tumeur à évolution imprévisible et inconnue des os et du cartilage articulaire,Tumeur de sièges autres et non précisés à évolution imprévisible ou inconnue,D48
neo,D487,"T. EV. IMPR., INC. D'AUTRES SIEGES PREC.",Tumeur à évolution imprévisible et inconnue d'autres sièges précisés,Tumeur de sièges autres et non précisés à évolution imprévisible ou inconnue,D48
neo,D489,"T. EV. IMPR., INC. DE SIEGE SAI","Tumeur à évolution imprévisible ou inconnue, sans précision",Tumeur de sièges autres et non précisés à évolution imprévisible ou inconnue,D48
neo,D500,ANEMIE PAR CARENCE EN FER IIRE. A UNE PERTE DE SANG,Anémie par carence en fer secondaire à une perte de sang (chronique),Anémie par carence en fer,D50
neo,D509,"ANEMIE PAR CARENCE EN FER, SAI","Anémie par carence en fer, sans précision",Anémie par carence en fer,D50
cvd,D510,ANEMIE PAR CARENCE EN VIT. B12 DUE A UNE CARENCE EN FACT. INTRINS.,Anémie par carence en vitamine B12 due à une carence en facteur intrinsèque,Anémie par carence en vitamine B12,D51
neo,D560,ALPHA-THALASSEMIE,Alpha-thalassémie,Thalassémie,D56
neo,D610,APLASIE MEDULLAIRE CONSTITUTIONNELLE,Aplasie médullaire constitutionnelle,Autres aplasies médullaires,D61
neo,D643,"ANEMIES SIDEROBLASTIQUES, NCA",Autres anémies sidéroblastiques,Autres anémies,D64
neo,D648,"ANEMIES PREC., NCA",Autres anémies précisées,Autres anémies,D64
neo,D649,"ANEMIE, SAI","Anémie, sans précision",Autres anémies,D64
otherncd,D680,MAL. DE VON WILLEBRAND,Maladie de von Willebrand,Autres anomalies de la coagulation,D68
otherncd,D690,PURPURA ALLERGIQUE,Purpura allergique,Purpura et autres affections hémorragiques,D69
otherncd,D699,"AFF. HEMORR., SAI","Affection hémorragique, sans précision",Purpura et autres affections hémorragiques,D69
neo,D730,HYPOSPLENISME,Hyposplénisme,Maladie de la rate,D73
neo,D759,"MAL. DU SANG ET DES ORG. HEMATO., SAI","Maladie du sang et des organes hématopoïétiques, sans précision",Autres maladies du sang et des organes hématopoïétiques,D75
neo,D760,"*** SU11 *** HISTIOCYTOSE DES CELL. DE LANGERHANS, NCA","*** SU11 *** Histiocytose des cellules de Langerhans, non classée ailleurs",Autres maladies précisées avec participation des tissus lymphoréticulaire et réticulohistiocytaire,D76
neo,D800,HYPOGAMMAGLOBULINEMIE HERED.,Hypogammaglobulinémie héréditaire,Déficit immunitaire avec déficit prédominant de la production d'anticorps,D80
neo,D801,HYPOGAMMAGLOBULINEMIE,Hypogammaglobulinémie (non familiale),Déficit immunitaire avec déficit prédominant de la production d'anticorps,D80
neo,D803,DEFIC. SELECTIF EN SOUS-CLASSES D'IG G,Déficit sélectif en sous-classes d'immunoglobulines G [IgG],Déficit immunitaire avec déficit prédominant de la production d'anticorps,D80
neo,D811,DEFIC. IMMUN. COMBINE SEVERE AVEC NB. FAIBLE DE CELL. B ET T,Déficit immunitaire combiné sévère [DICS] avec nombre faible de cellules B et T,Déficits immunitaires combinés,D81
neo,D819,"DEFIC. IMMUN. COMBINE, SAI","Déficit immunitaire combiné, sans précision",Déficits immunitaires combinés,D81
neo,D831,DEFIC. IMMUN. COMMUN VARIABLE + ANOM. LYMPHOCYTES T IMMUNOREGULATEURS,Déficit immunitaire commun variable avec anomalies prédominantes des lymphocytes T immunorégulateurs,Déficit immunitaire commun variable,D83
neo,D839,"DEFIC. IMMUN. COMMUN VARIABLE, SAI","Déficit immunitaire commun variable, sans précision",Déficit immunitaire commun variable,D83
neo,D849,"DEFIC. IMMUN., SAI","Déficit immunitaire, sans précision",Autres déficits immunitaires,D84
neo,D860,SARCOIDOSE DU POUMON,Sarcoïdose du poumon,Sarcoïdose,D86
neo,D899,"ANOM. DU SYST. IMMUN., SAI","Anomalie du système immunitaire, sans précision","Autres anomalies du système immunitaire, non classées ailleurs",D89
neo,E050,THYREOTOXICOSE AVEC GOITRE DIFFUS,Thyréotoxicose avec goitre diffus,Thyréotoxicose [hyperthyroïdie],E05
neo,E100,"DIABETE TYPE 1, AVEC COMA","Diabète sucré de type 1, avec coma",Diabète sucré de type 1,E10
neo,E110,"DIABETE TYPE 2, AVEC COMA","Diabète sucré de type 2, avec coma",Diabète sucré de type 2,E11
